compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
PI,Polyimide (Kapton),C31H19N3O6,negative,-1,529.12738534308,0.532174522931384,0.442174522931384,2,1,2,recombination,node_2803,node_0027 + node_0034 | h_transfer_recombination | electron_gain,node_2803;node_2927
PI,Polyimide (Kapton),C51H26N4O11,negative,-1,870.15980767097,0.5319680384658061,0.381968038465806,3,1,3,recombination,node_1529,node_0008 + node_0041 | single_dehydrogenative_recombination | deprotonation,node_1529;node_1637;node_3403
PI,Polyimide (Kapton),C51H27N5O11,negative,-1,885.17070670763,0.530965858658474,0.360965858658474,4,1,4,recombination,node_3677,node_0041 + node_0050 | h_transfer_recombination | deprotonation,node_1651;node_1931;node_3677;node_3725
PI,Polyimide (Kapton),C42H24N3O8,negative,-1,698.15633974337,0.530368732051326,0.360368732051326,6,1,6,recombination,node_3439,node_0035 + node_0050 | h_transfer_recombination | electron_gain,node_3439;node_3487;node_3519;node_3543;node_3667;node_3719
PI,Polyimide (Kapton),C15H6N2O3,negative,-1,262.03784206095,0.53,0.36,6,1,6,recombination,node_1737,node_0012 + node_0059 | single_dehydrogenative_recombination | deprotonation,node_1737;node_2165;node_2269;node_2289;node_3799;node_4267
PI,Polyimide (Kapton),C15H6N2O4,negative,-1,278.03275668052,0.53,0.36,6,1,6,recombination,node_1813,node_0013 + node_0059 | single_dehydrogenative_recombination | deprotonation,node_1813;node_2041;node_2273;node_2285;node_3911;node_4175
PI,Polyimide (Kapton),C16H9NO3,negative,-1,263.05824315321,0.53,0.36,6,1,6,recombination,node_1745,node_0012 + node_0063 | single_dehydrogenative_recombination | deprotonation,node_1745;node_2173;node_2385;node_2409;node_3815;node_4283
PI,Polyimide (Kapton),C16H9NO4,negative,-1,279.05315777278,0.53,0.36,6,1,6,recombination,node_1821,node_0013 + node_0063 | single_dehydrogenative_recombination | deprotonation,node_1821;node_2049;node_2389;node_2401;node_3927;node_4191
PI,Polyimide (Kapton),C18H10O,negative,-1,242.07316494187,0.53,0.36,6,1,6,recombination,node_1713,node_0012 + node_0047 | single_dehydrogenative_recombination | deprotonation,node_1713;node_1861;node_1881;node_2145;node_3751;node_3995
PI,Polyimide (Kapton),C18H10O2,negative,-1,258.06807956144,0.53,0.36,6,1,6,recombination,node_1789,node_0013 + node_0047 | single_dehydrogenative_recombination | deprotonation,node_1789;node_1865;node_1873;node_2021;node_3863;node_3979
PI,Polyimide (Kapton),C21H10N2O3,negative,-1,338.06914218987,0.53,0.36,6,1,6,recombination,node_1733,node_0012 + node_0057 | single_dehydrogenative_recombination | deprotonation,node_1733;node_2161;node_2213;node_2237;node_3791;node_4259
PI,Polyimide (Kapton),C21H10N2O4,negative,-1,354.06405680944,0.53,0.36,15,1,15,recombination,node_1725,node_0012 + node_0053 | single_dehydrogenative_recombination | deprotonation,node_1725;node_1809;node_1889;node_2037;node_2069;node_2089;node_2157;node_2217;node_2229;node_2277;node_3775;node_3903;node_4011;node_4167;node_4223
PI,Polyimide (Kapton),C21H10N2O5,negative,-1,370.05897142901,0.53,0.36,6,1,6,recombination,node_1801,node_0013 + node_0053 | single_dehydrogenative_recombination | deprotonation,node_1801;node_2029;node_2073;node_2085;node_3887;node_4151
PI,Polyimide (Kapton),C27H14N2O4,negative,-1,430.09535693836,0.53,0.36,15,1,15,recombination,node_1717,node_0012 + node_0049 | single_dehydrogenative_recombination | deprotonation,node_1717;node_1741;node_1885;node_1937;node_1957;node_2149;node_2169;node_2221;node_2317;node_2337;node_3759;node_3807;node_4003;node_4083;node_4275
PI,Polyimide (Kapton),C27H14N2O5,negative,-1,446.09027155793,0.53,0.36,15,1,15,recombination,node_1793,node_0013 + node_0049 | single_dehydrogenative_recombination | deprotonation,node_1793;node_1817;node_1877;node_1941;node_1949;node_2025;node_2045;node_2077;node_2321;node_2333;node_3871;node_3919;node_3987;node_4067;node_4183
PI,Polyimide (Kapton),C12H9,positive,1,153.07042529007,0.5299999999999999,0.43999999999999995,2,1,2,recombination,node_3788,node_0043 + node_0056 | h_transfer_recombination | protonation,node_3788;node_3844
PI,Polyimide (Kapton),C12H9O2,positive,1,185.06025452921,0.5299999999999999,0.43999999999999995,2,1,2,recombination,node_3884,node_0045 + node_0052 | h_transfer_recombination | protonation,node_3884;node_3944
PI,Polyimide (Kapton),C45H23N5O10,positive,1,793.1444919591399,0.529371101608172,0.379371101608172,3,1,3,recombination,node_3696,node_0041 + node_0057 | dehydrogenative_coupling | protonation,node_1662;node_2206;node_3696
PI,Polyimide (Kapton),C19H12N2O6,positive,1,364.06953611304,0.528,0.438,2,1,2,recombination,node_2516,node_0023 + node_0064 | h_transfer_recombination | protonation,node_2516;node_2564
PI,Polyimide (Kapton),C20H15N3O6,positive,1,393.09608521416,0.528,0.438,2,1,2,recombination,node_3612,node_0037 + node_0064 | h_transfer_recombination | protonation,node_3612;node_3644
PI,Polyimide (Kapton),C25H16N2O6,positive,1,440.10083624196,0.528,0.438,2,1,2,recombination,node_2916,node_0027 + node_0064 | h_transfer_recombination | protonation,node_2916;node_2984
PI,Polyimide (Kapton),C25H16N2O7,positive,1,456.09575086153,0.528,0.438,2,1,2,recombination,node_3184,node_0031 + node_0064 | h_transfer_recombination | protonation,node_3184;node_3224
PI,Polyimide (Kapton),C26H19N3O6,positive,1,469.12738534308,0.528,0.438,2,1,2,recombination,node_3336,node_0033 + node_0064 | h_transfer_recombination | protonation,node_3336;node_3392
PI,Polyimide (Kapton),C26H19N3O7,positive,1,485.12229996265,0.528,0.438,2,1,2,recombination,node_3064,node_0029 + node_0064 | h_transfer_recombination | protonation,node_3064;node_3104
PI,Polyimide (Kapton),C27H13NO4,negative,-1,415.0844579017,0.528,0.37800000000000006,3,1,3,recombination,node_2849,node_0027 + node_0047 | dehydrogenative_coupling | deprotonation,node_2849;node_3413;node_3461
PI,Polyimide (Kapton),C27H13NO5,negative,-1,431.07937252127,0.528,0.37800000000000006,3,1,3,recombination,node_3141,node_0031 + node_0047 | dehydrogenative_coupling | deprotonation,node_3141;node_3421;node_3445
PI,Polyimide (Kapton),C28H16N2O4,negative,-1,444.11100700282,0.528,0.37800000000000006,3,1,3,recombination,node_2625,node_0025 + node_0043 | dehydrogenative_coupling | deprotonation,node_2625;node_2673;node_3269
PI,Polyimide (Kapton),C28H16N2O5,negative,-1,460.10592162239,0.528,0.37800000000000006,3,1,3,recombination,node_2633,node_0025 + node_0045 | dehydrogenative_coupling | deprotonation,node_2633;node_2657;node_3021
PI,Polyimide (Kapton),C36H17N3O7,negative,-1,603.10664989819,0.527378670020362,0.35737867002036205,5,1,5,recombination,node_2857,node_0027 + node_0049 | dehydrogenative_coupling | deprotonation,node_2857;node_2905;node_3469;node_3649;node_3689
PI,Polyimide (Kapton),C52H29N5O11,negative,-1,899.18635677209,0.5261627286455821,0.37616272864558203,3,1,3,recombination,node_1205,node_0003 + node_0041 | single_dehydrogenative_recombination | deprotonation,node_1205;node_1625;node_2615
PI,Polyimide (Kapton),C33H21NO5,positive,1,511.14197277911,0.525771605444178,0.435771605444178,2,1,2,recombination,node_3432,node_0035 + node_0048 | h_transfer_recombination | protonation,node_3432;node_3516
PI,Polyimide (Kapton),C33H18N2O5,negative,-1,522.12157168685,0.5255756856626299,0.35557568566263,6,1,6,recombination,node_1869,node_0014 + node_0049 | single_dehydrogenative_recombination | deprotonation,node_1869;node_1893;node_1945;node_2325;node_3971;node_4019
PI,Polyimide (Kapton),C30H17N3O6,positive,1,515.11173527862,0.524977652944276,0.434977652944276,2,1,2,recombination,node_2892,node_0027 + node_0058 | h_transfer_recombination | protonation,node_2892;node_2972
PI,Polyimide (Kapton),C43H27N4O8,negative,-1,727.18288884449,0.524563422231102,0.35456342223110204,4,1,4,recombination,node_2651,node_0025 + node_0050 | h_transfer_recombination | electron_gain,node_2651;node_2699;node_2751;node_2775
PI,Polyimide (Kapton),C36H17N3O8,negative,-1,619.10156451776,0.5241796870964481,0.35417968709644804,4,1,4,recombination,node_3149,node_0031 + node_0049 | dehydrogenative_coupling | deprotonation,node_3149;node_3453;node_3657;node_3681
PI,Polyimide (Kapton),C16H11NO3,negative,-1,265.07389321767,0.522,0.35200000000000004,4,1,4,recombination,node_3819,node_0043 + node_0064 | h_transfer_recombination | electron_gain,node_3819;node_3859;node_4287;node_4303
PI,Polyimide (Kapton),C16H11NO4,negative,-1,281.06880783724,0.522,0.35200000000000004,4,1,4,recombination,node_3931,node_0045 + node_0064 | h_transfer_recombination | electron_gain,node_3931;node_3967;node_4195;node_4219
PI,Polyimide (Kapton),C18H12O,negative,-1,244.08881500633,0.522,0.35200000000000004,4,1,4,recombination,node_3755,node_0043 + node_0048 | h_transfer_recombination | electron_gain,node_3755;node_3827;node_3999;node_4047
PI,Polyimide (Kapton),C18H12O2,negative,-1,260.0837296259,0.522,0.35200000000000004,4,1,4,recombination,node_3867,node_0045 + node_0048 | h_transfer_recombination | electron_gain,node_3867;node_3935;node_3983;node_4039
PI,Polyimide (Kapton),C21H12N2O3,negative,-1,340.08479225433,0.522,0.35200000000000004,4,1,4,recombination,node_3795,node_0043 + node_0058 | h_transfer_recombination | electron_gain,node_3795;node_3847;node_4263;node_4291
PI,Polyimide (Kapton),C21H12N2O5,negative,-1,372.07462149347,0.522,0.35200000000000004,4,1,4,recombination,node_3891,node_0045 + node_0054 | h_transfer_recombination | electron_gain,node_3891;node_3947;node_4155;node_4199
PI,Polyimide (Kapton),C27H16N2O4,negative,-1,432.11100700282,0.522,0.35200000000000004,10,1,10,recombination,node_3763,node_0043 + node_0050 | h_transfer_recombination | electron_gain,node_3763;node_3811;node_3831;node_3855;node_4007;node_4051;node_4087;node_4131;node_4279;node_4299
PI,Polyimide (Kapton),C27H16N2O5,negative,-1,448.10592162239,0.522,0.35200000000000004,10,1,10,recombination,node_3875,node_0045 + node_0050 | h_transfer_recombination | electron_gain,node_3875;node_3923;node_3939;node_3963;node_3991;node_4043;node_4071;node_4123;node_4187;node_4215
PI,Polyimide (Kapton),C30H14N4O7,negative,-1,542.08624880593,0.521582750238814,0.35158275023881397,6,1,6,recombination,node_1965,node_0015 + node_0059 | single_dehydrogenative_recombination | deprotonation,node_1965;node_2093;node_2233;node_2281;node_4099;node_4231
PI,Polyimide (Kapton),C31H20N2O7,positive,1,532.12705099045,0.52157458980191,0.43157458980191,2,1,2,recombination,node_3496,node_0035 + node_0064 | h_transfer_recombination | protonation,node_3496;node_3548
PI,Polyimide (Kapton),C34H24N2O5,positive,1,540.16852188023,0.519966295623954,0.429966295623954,2,1,2,recombination,node_2644,node_0025 + node_0048 | h_transfer_recombination | protonation,node_2644;node_2748
PI,Polyimide (Kapton),C45H25N4O10,positive,1,781.15706801917,0.519768586396166,0.42976858639616594,2,1,2,recombination,node_2828,node_0027 + node_0042 | h_transfer_recombination | protonation,node_2828;node_2940
PI,Polyimide (Kapton),C36H20N2O7,negative,-1,592.12705099045,0.51957458980191,0.42957458980191,2,1,2,recombination,node_2811,node_0027 + node_0036 | h_transfer_recombination | electron_gain,node_2811;node_2931
PI,Polyimide (Kapton),C31H20N4O6,positive,1,544.13828437974,0.519172343124052,0.429172343124052,2,1,2,recombination,node_3312,node_0033 + node_0058 | h_transfer_recombination | protonation,node_3312;node_3380
PI,Polyimide (Kapton),C42H23N4O8,negative,-1,711.15158871557,0.517769682256886,0.347769682256886,4,1,4,recombination,node_4113,node_0049 + node_0062 | h_transfer_recombination | deprotonation,node_1967;node_2327;node_4113;node_4145
PI,Polyimide (Kapton),C33H20N2O5,negative,-1,524.13722175131,0.517172555649738,0.34717255564973803,4,1,4,recombination,node_3975,node_0047 + node_0050 | h_transfer_recombination | electron_gain,node_3975;node_4023;node_4035;node_4059
PI,Polyimide (Kapton),C36H20N2O8,negative,-1,608.12196561002,0.516375606877996,0.426375606877996,2,1,2,recombination,node_3119,node_0031 + node_0036 | h_transfer_recombination | electron_gain,node_3119;node_3191
PI,Polyimide (Kapton),C32H23N3O7,positive,1,561.15360009157,0.515769279981686,0.425769279981686,2,1,2,recombination,node_2708,node_0025 + node_0064 | h_transfer_recombination | protonation,node_2708;node_2780
PI,Polyimide (Kapton),C40H21N4O10,negative,-1,717.12576789025,0.5145748464219501,0.36457484642195004,3,1,3,recombination,node_1669,node_0011 + node_0063 | single_dehydrogenative_recombination | deprotonation,node_1669;node_2381;node_3703
PI,Polyimide (Kapton),C46H28N5O10,positive,1,810.18361712029,0.5139632765759419,0.4239632765759419,2,1,2,recombination,node_3248,node_0033 + node_0042 | h_transfer_recombination | protonation,node_3248;node_3348
PI,Polyimide (Kapton),C30H13N2O7,negative,-1,513.07227576484,0.513385544847032,0.423385544847032,2,1,2,recombination,node_2449,node_0023 + node_0035 | dehydrogenative_coupling | deprotonation,node_2449;node_2793
PI,Polyimide (Kapton),C30H16N4O7,negative,-1,544.10189887039,0.513179620225922,0.343179620225922,4,1,4,recombination,node_4103,node_0049 + node_0060 | h_transfer_recombination | electron_gain,node_4103;node_4139;node_4235;node_4251
PI,Polyimide (Kapton),C36H19N4O8,positive,1,635.12028858665,0.51297594228267,0.36297594228266994,3,1,3,recombination,node_4076,node_0049 + node_0053 | dehydrogenative_coupling | protonation,node_1950;node_2078;node_4076
PI,Polyimide (Kapton),C12H6O,positive,1,166.04186481295,0.512,0.342,4,1,4,recombination,node_3742,node_0043 + node_0045 | dehydrogenative_coupling | electron_loss,node_3742;node_3766;node_3894;node_4158
PI,Polyimide (Kapton),C51H27N5O11,positive,1,885.17070670763,0.510965858658474,0.360965858658474,3,1,3,recombination,node_3672,node_0041 + node_0049 | dehydrogenative_coupling | protonation,node_1650;node_1930;node_3672
PI,Polyimide (Kapton),C19H9N3O6,negative,-1,375.04913502078,0.51,0.36,3,1,3,recombination,node_2297,node_0020 + node_0063 | single_dehydrogenative_recombination | deprotonation,node_2297;node_2417;node_4343
PI,Polyimide (Kapton),C21H10NO4,positive,1,340.06098280501,0.51,0.34,5,1,5,recombination,node_2470,node_0023 + node_0047 | dehydrogenative_coupling | electron_loss,node_2470;node_2838;node_2862;node_3122;node_3162
PI,Polyimide (Kapton),C22H13N2O4,positive,1,369.08753190613,0.51,0.34,5,1,5,recombination,node_3002,node_0029 + node_0043 | dehydrogenative_coupling | electron_loss,node_3002;node_3042;node_3258;node_3282;node_3566
PI,Polyimide (Kapton),C22H13NO4,negative,-1,355.0844579017,0.51,0.36,3,1,3,recombination,node_1897,node_0014 + node_0063 | single_dehydrogenative_recombination | deprotonation,node_1897;node_2393;node_4027
PI,Polyimide (Kapton),C24H10N4O6,negative,-1,450.06003405744,0.51,0.36,3,1,3,recombination,node_2241,node_0019 + node_0059 | single_dehydrogenative_recombination | deprotonation,node_2241;node_2293;node_4307
PI,Polyimide (Kapton),C25H13N3O7,negative,-1,467.07534976927,0.51,0.36,3,1,3,recombination,node_2097,node_0017 + node_0063 | single_dehydrogenative_recombination | deprotonation,node_2097;node_2405;node_4239
PI,Polyimide (Kapton),C38H26N4O7,negative,-1,650.18014919269,0.507963970161462,0.41796397016146203,2,1,2,recombination,node_2595,node_0025 + node_0034 | h_transfer_recombination | electron_gain,node_2595;node_2723
PI,Polyimide (Kapton),C36H18N4O7,negative,-1,618.11754893485,0.5063764902130301,0.33637649021303,6,1,6,recombination,node_1961,node_0015 + node_0057 | single_dehydrogenative_recombination | deprotonation,node_1961;node_2225;node_2245;node_2341;node_4091;node_4315
PI,Polyimide (Kapton),C38H26N4O8,negative,-1,666.17506381226,0.504764987237548,0.414764987237548,2,1,2,recombination,node_2579,node_0025 + node_0030 | h_transfer_recombination | electron_gain,node_2579;node_2715
