compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PDMS,Polydimethylsiloxane,C3H7Si,negative,-1,71.03170176026,0.6222,0.6220000000000001,1,1,1,feature_rule,node_0433,M | siloxane | siloxane_small_fragments | silox_C3H7Si,node_0433,validated_diagnostic,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H9OSi,positive,1,89.04226644429001,0.6222,0.6220000000000001,1,1,1,feature_rule,node_0427,M | siloxane | siloxane_small_fragments | silox_C3H9OSi,node_0427,validated_diagnostic,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H9Si,positive,1,73.04735182472,0.6222,0.6220000000000001,1,1,1,feature_rule,node_0421,M | siloxane | siloxane_small_fragments | silox_C3H9Si,node_0421,validated_diagnostic,0.6220000000000001
PDMS,Polydimethylsiloxane,C2H3O,negative,-1,43.01838971626,0.5882,0.6220000000000001,1,1,1,feature_rule,node_0413,M | oxygenated | oxygenated_small_fragments | o_small_C2H3O,node_0413,validated_generic,0.6220000000000001
PDMS,Polydimethylsiloxane,C2HO,negative,-1,41.0027396518,0.5882,0.6220000000000001,1,1,1,feature_rule,node_0412,M | oxygenated | oxygenated_small_fragments | o_small_C2HO,node_0412,validated_generic,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H9OSi2,positive,1,117.01919297894,0.7492,0.6220000000000001,9,2,9,feature_rule;fragment_h_shift,node_0429,M | siloxane | siloxane_small_fragments | silox_C3H9OSi2,node_0429;node_0611;node_0627;node_0631;node_0647;node_0655;node_0659;node_0683;node_0687,feature_supported_candidate,0.8420000000000001
PDMS,Polydimethylsiloxane,C2H5OSi,positive,1,73.01096631537,0.6242,0.6220000000000001,5,2,5,feature_rule;recombination,node_0424,M | siloxane | siloxane_small_fragments | silox_C2H5OSi,node_0424;node_1355;node_1403;node_1687;node_1735,feature_supported_candidate,0.8420000000000001
PDMS,Polydimethylsiloxane,C3H7OSi,positive,1,87.02661637983,0.4922,0.6220000000000001,1,1,1,feature_rule,node_0426,M | siloxane | siloxane_small_fragments | silox_C3H7OSi,node_0426,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CH3Si,positive,1,43.00040163134,0.4922,0.6220000000000001,1,1,1,feature_rule,node_0416,M | siloxane | siloxane_small_fragments | silox_CH3Si,node_0416,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CH3Si,negative,-1,43.00040163134,0.4922,0.6220000000000001,1,1,1,feature_rule,node_0431,M | siloxane | siloxane_small_fragments | silox_CH3Si,node_0431,feature_supported_candidate,0.6220000000000001
