compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
Nomex,meta-Aramid,C13H10N2O,positive,1,210.07931295073,0.776,0.556,44,2,44,fragment;recombination,node_1591,"M | fragment C,H,N,O from C-N+C-C bond break(s) | electron_loss",node_1591;node_2108;node_2128;node_2276;node_2304;node_2540;node_2784;node_2838;node_2850;node_2880;node_2930;node_2998;node_3026;node_3144;node_3178;node_3228;node_3282;node_3294;node_3354;node_3374;node_3630;node_3650;node_3819;node_3881;node_3915;node_4969;node_5009;node_5405;node_5465;node_5941;node_6438;node_6462;node_6506;node_6518;node_6602;node_6646;node_6666;node_6726;node_6734;node_6762;node_6958;node_6982;node_7006;node_7018
Nomex,meta-Aramid,C13H10N2O,negative,-1,210.07931295073,0.776,0.556,35,2,35,fragment;recombination,node_1592,"M | fragment C,H,N,O from C-N+C-C bond break(s) | electron_gain",node_1592;node_2109;node_2129;node_2277;node_2305;node_2541;node_2785;node_2881;node_3145;node_3229;node_3882;node_4974;node_5014;node_5098;node_5118;node_5410;node_5470;node_5506;node_5534;node_5946;node_6046;node_6439;node_6463;node_6507;node_6519;node_6603;node_6647;node_6667;node_6727;node_6735;node_6763;node_6959;node_6983;node_7007;node_7019
Nomex,meta-Aramid,C13H10NO,negative,-1,196.0762389463,0.772,0.552,9,2,9,fragment_h_shift;recombination,node_1709,"M | fragment C,H,N,O from C-N+C-C bond break(s) | h_shift_+1 | electron_gain",node_1709;node_5004;node_5064;node_5112;node_5140;node_5936;node_5976;node_6040;node_6060
Nomex,meta-Aramid,C13H8NO,positive,1,194.06058888184,0.772,0.552,23,2,23,fragment_h_shift;recombination,node_1706,"M | fragment C,H,N,O from C-N+C-C bond break(s) | h_shift_-1 | electron_loss",node_1706;node_2852;node_3188;node_3200;node_3296;node_3368;node_3392;node_3644;node_3668;node_3813;node_3833;node_3929;node_3941;node_4999;node_5059;node_5931;node_5971;node_6472;node_6876;node_6900;node_6992;node_7068;node_7200
Nomex,meta-Aramid,C7H3O,positive,1,103.01838971626,0.772,0.552,7,2,7,fragment_h_shift;recombination,node_1720,"M | fragment C,H,O from C-N+C-C bond break(s) | h_shift_-1 | electron_loss",node_1720;node_3734;node_3761;node_4068;node_4127;node_6279;node_6338
Nomex,meta-Aramid,C7H4NO,positive,1,118.02928875292,0.772,0.552,16,2,16,fragment_h_shift;recombination,node_1702,"M | fragment C,H,N,O from C-N+C-C bond break(s) | h_shift_-1 | electron_loss",node_1702;node_1714;node_3196;node_3552;node_3576;node_3718;node_3738;node_3937;node_4036;node_4076;node_4527;node_4587;node_6247;node_6287;node_6892;node_7168
Nomex,meta-Aramid,C7H5N2O,positive,1,133.04018778958,0.772,0.552,12,2,12,fragment_h_shift;recombination,node_1686,"M | fragment C,H,N,O from C-N+C-C bond break(s) | h_shift_-1 | electron_loss",node_1686;node_2844;node_3288;node_3536;node_3556;node_3722;node_4044;node_4503;node_4535;node_6255;node_6452;node_6972
Nomex,meta-Aramid,C14H10N2O2,positive,1,238.0742275703,0.77,0.55,53,2,53,fragment_h_shift;recombination,node_1634,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1 | electron_loss",node_1634;node_1670;node_1784;node_1952;node_2132;node_2144;node_2188;node_2204;node_2300;node_2356;node_2460;node_2488;node_2544;node_2732;node_2788;node_2872;node_2972;node_3022;node_3028;node_3072;node_3152;node_3232;node_3320;node_3386;node_3404;node_3474;node_3566;node_3596;node_3654;node_3732;node_3789;node_3823;node_3889;node_4062;node_4553;node_5017;node_5041;node_5185;node_5217;node_5355;node_5457;node_5577;node_5789;node_5849;node_5949;node_6273;node_6718;node_6758;node_6814;node_7050;node_7082;node_7098;node_7130
Nomex,meta-Aramid,C14H12N2O2,negative,-1,240.08987763476,0.77,0.55,4,2,4,fragment_h_shift;recombination,node_1637,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_+1 | electron_gain",node_1637;node_1673;node_5360;node_5480
Nomex,meta-Aramid,C14H9NO2,positive,1,223.06332853364,0.77,0.55,39,2,39,fragment_h_shift;recombination,node_1642,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1 | electron_loss",node_1642;node_1800;node_2148;node_2200;node_2228;node_2352;node_2372;node_2560;node_2572;node_2748;node_2796;node_3140;node_3240;node_3340;node_3390;node_3396;node_3440;node_3616;node_3666;node_3748;node_3781;node_3839;node_3851;node_3877;node_4094;node_4943;node_5053;node_5209;node_5269;node_5569;node_5609;node_5981;node_6005;node_6305;node_7062;node_7086;node_7110;node_7194;node_7206
Nomex,meta-Aramid,C14H11NO2,negative,-1,225.0789785981,0.75,0.55,3,2,3,fragment_h_shift;recombination,node_1645,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_+1 | electron_gain",node_1645;node_4948;node_5084
Nomex,meta-Aramid,CHNO,positive,1,43.005813656229996,0.7460000000000002,0.6060000000000001,2,2,2,fragment;fragment_h_shift,node_1611,"M | fragment C,H,N,O from C-N+C-C bond break(s) | electron_loss",node_1611;node_1638
