compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PEI,Polyetherimide (Ultem),C39H26O8,positive,1,622.1627677945401,0.3336,0.413567446441092,60,1,60,recombination,node_11835,node_0045 + node_0107 | dehydrogenative_coupling | protonation,node_4909;node_4917;node_5073;node_5081;node_5181;node_5193;node_5205;node_5217;node_5505;node_5517;node_5529;node_5541;node_6133;node_6145;node_6157;node_6169;node_6457;node_6469;node_6481;node_6493;node_7205;node_7229;node_7361;node_7385;node_7697;node_7721;node_7853;node_7877;node_8189;node_8213;node_8345;node_8369;node_8681;node_8705;node_8837;node_8861;node_9649;node_9653;node_9977;node_9981;node_11835;node_11851;node_12319;node_12335;node_12679;node_12703;node_12727;node_12751;node_13579;node_13603;node_13627;node_13651;node_15175;node_15199;node_15223;node_15247;node_15931;node_15955;node_15979;node_16003,structural_candidate_only,0.583567446441092
PEI,Polyetherimide (Ultem),C39H26O8,negative,-1,622.1627677945401,0.3336,0.413567446441092,80,1,80,recombination,node_11840,node_0045 + node_0108 | h_transfer_recombination | deprotonation,node_4910;node_4918;node_5074;node_5082;node_5182;node_5194;node_5206;node_5218;node_5506;node_5518;node_5530;node_5542;node_6134;node_6146;node_6158;node_6170;node_6458;node_6470;node_6482;node_6494;node_7206;node_7230;node_7362;node_7386;node_7698;node_7722;node_7854;node_7878;node_8190;node_8214;node_8346;node_8370;node_8682;node_8706;node_8838;node_8862;node_9650;node_9654;node_9978;node_9982;node_11840;node_11856;node_12048;node_12056;node_12324;node_12340;node_12528;node_12536;node_12684;node_12708;node_12732;node_12756;node_12940;node_12952;node_12964;node_12976;node_13584;node_13608;node_13632;node_13656;node_13836;node_13848;node_13860;node_13872;node_15180;node_15204;node_15228;node_15252;node_15412;node_15424;node_15436;node_15448;node_15936;node_15960;node_15984;node_16008;node_16164;node_16176;node_16188;node_16200,structural_candidate_only,0.583567446441092
PEI,Polyetherimide (Ultem),C46H32O8,negative,-1,712.20971798792,0.3336,0.413558056402416,15,1,15,recombination,node_5488,node_0006 + node_0067 | single_dehydrogenative_recombination | deprotonation,node_5488;node_6420;node_10456;node_10468;node_10784;node_10796;node_11084;node_11092;node_11576;node_11584;node_13538;node_21502;node_21526;node_21642;node_21666,structural_candidate_only,0.5835580564024161
PEI,Polyetherimide (Ultem),C24H24,positive,1,312.18780077352,0.3335,0.42,8,1,8,recombination,node_9779,node_0033 + node_0113 | single_dehydrogenative_recombination | protonation,node_9779;node_10107;node_10263;node_10271;node_21041;node_21117;node_21277;node_21345,structural_candidate_only,0.5900000000000001
PEI,Polyetherimide (Ultem),C53H35O12,positive,1,863.21285156289,0.3335,0.4133574296874219,24,1,24,recombination,node_11631,node_0045 + node_0054 | h_transfer_recombination | protonation,node_11631;node_11679;node_11943;node_11967;node_12115;node_12163;node_12423;node_12447;node_18379;node_18403;node_18487;node_18499;node_19183;node_19207;node_19279;node_19291;node_19879;node_19903;node_19963;node_19975;node_20467;node_20491;node_20539;node_20551,structural_candidate_only,0.583357429687422
PEI,Polyetherimide (Ultem),C39H28O8,positive,1,624.178417859,0.3334,0.4131643164282,40,1,40,recombination,node_11839,node_0045 + node_0108 | h_transfer_recombination | protonation,node_11839;node_11855;node_12047;node_12055;node_12323;node_12339;node_12527;node_12535;node_12683;node_12707;node_12731;node_12755;node_12939;node_12951;node_12963;node_12975;node_13583;node_13607;node_13631;node_13655;node_13835;node_13847;node_13859;node_13871;node_15179;node_15203;node_15227;node_15251;node_15411;node_15423;node_15435;node_15447;node_15935;node_15959;node_15983;node_16007;node_16163;node_16175;node_16187;node_16199,structural_candidate_only,0.5831643164282001
PEI,Polyetherimide (Ultem),C37H28O4,positive,1,536.19875938072,0.3332,0.412760248123856,16,1,16,recombination,node_7483,node_0019 + node_0113 | single_dehydrogenative_recombination | protonation,node_7483;node_7975;node_8467;node_8959;node_10207;node_10219;node_10231;node_10243;node_18045;node_18177;node_18885;node_19005;node_19617;node_19725;node_20241;node_20337,structural_candidate_only,0.5827602481238561
PEI,Polyetherimide (Ultem),C48H33O11,positive,1,785.20228687886,0.3321,0.410959542624228,16,1,16,recombination,node_5271,node_0004 + node_0123 | single_dehydrogenative_recombination | protonation,node_5271;node_5283;node_6223;node_6235;node_10955;node_10979;node_11447;node_11471;node_12857;node_12881;node_13025;node_13037;node_15353;node_15377;node_15497;node_15509,structural_candidate_only,0.580959542624228
PEI,Polyetherimide (Ultem),C37H16O11,positive,1,636.06926133095,0.332,0.41078614773381,6,1,6,recombination,node_14759,node_0059 + node_0075 | dehydrogenative_coupling | protonation,node_5961;node_6913;node_7053;node_7077;node_14759;node_16943,structural_candidate_only,0.5807861477338101
PEI,Polyetherimide (Ultem),C37H16O11,negative,-1,636.06926133095,0.332,0.41078614773381,8,1,8,recombination,node_14764,node_0059 + node_0076 | h_transfer_recombination | deprotonation,node_5962;node_6914;node_7054;node_7078;node_14764;node_15008;node_16948;node_17168,structural_candidate_only,0.5807861477338101
PEI,Polyetherimide (Ultem),C34H26O7,positive,1,546.16785317497,0.332,0.4107664293650059,8,1,8,recombination,node_9635,node_0032 + node_0123 | single_dehydrogenative_recombination | protonation,node_9635;node_9647;node_11063;node_11555;node_20945;node_20969;node_21005;node_21017,structural_candidate_only,0.5807664293650059
PEI,Polyetherimide (Ultem),C53H33O13,positive,1,877.1921161180001,0.3318,0.4105615767763999,12,1,12,recombination,node_11643,node_0045 + node_0057 | dehydrogenative_coupling | protonation,node_4813;node_4837;node_4977;node_5001;node_5761;node_5765;node_6713;node_6717;node_11643;node_11691;node_12127;node_12175,structural_candidate_only,0.5805615767763999
PEI,Polyetherimide (Ultem),C53H33O13,negative,-1,877.1921161180001,0.3318,0.4105615767763999,16,1,16,recombination,node_11648,node_0045 + node_0058 | h_transfer_recombination | deprotonation,node_4814;node_4838;node_4978;node_5002;node_5762;node_5766;node_6714;node_6718;node_11648;node_11696;node_11952;node_11976;node_12132;node_12180;node_12432;node_12456,structural_candidate_only,0.5805615767763999
