Area Statistics
	Mass (u)	PET0 (+PET0-Floodgun-1) *
(null)	105.0314	451033.77
(null)	105.0683	47884.19
(null)	106.0349	45162.05
(null)	106.0723	5833.64
(null)	107.0451	17875.39
(null)	107.0850	6144.17
(null)	108.0171	1726.28
(null)	108.0511	2535.90
(null)	109.0000	11160.19
(null)	109.0273	2578.25
(null)	109.0629	2775.20
(null)	109.1017	4084.15
(null)	110.0088	51716.41
(null)	110.9739	6572.32
(null)	111.0174	51921.92
(null)	111.9775	1504.99
(null)	112.0234	11680.67
(null)	112.9178	23993.31
(null)	113.0328	44421.32
(null)	113.9253	1624.86
(null)	114.0417	40781.55
(null)	115.0495	202795.26
(null)	116.0226	12664.59
(null)	116.0544	36597.97
(null)	116.9101	1730.95
(null)	117.0306	20787.05
(null)	117.0655	25649.16
(null)	118.0388	27847.15
(null)	118.0748	4304.50
(null)	119.0070	48684.24
(null)	119.0458	19450.51
(null)	119.0837	7035.38
(null)	120.0161	24377.97
(null)	120.0525	4018.53
(null)	120.0912	1217.92
(null)	120.9253	27450.16
(null)	121.0244	71030.75
(null)	121.0634	5004.80
(null)	121.1010	3120.83
(null)	121.1855	11924.94
(null)	121.9180	2486.33
(null)	122.0077	41367.05
(null)	122.0326	8241.34
(null)	123.0158	25347.88
(null)	124.0236	6736.03
(null)	124.9911	5135.01
(null)	125.0328	15247.89
(null)	126.0403	60344.51
(null)	127.0473	65467.15
(null)	128.0557	100896.23
(null)	129.0297	33430.29
(null)	129.0634	33473.70
(null)	130.0368	10062.49
(null)	130.0703	5634.56
(null)	131.0462	36620.60
(null)	131.0856	7303.51
(null)	132.0178	25979.65
(null)	132.0530	7505.82
(null)	132.8999	137292.78
(null)	133.0242	71635.38
(null)	134.0065	23926.52
(null)	134.0323	11506.99
(null)	135.0145	18268.86
(null)	135.0412	12174.59
(null)	136.0182	4673.48
(null)	136.0489	3179.89
(null)	136.9164	3481.40
(null)	137.0308	20007.31
(null)	138.0394	19304.89
(null)	139.0458	121446.57
(null)	140.0516	19196.85
(null)	140.9139	3737.85
(null)	141.0580	52116.68
(null)	142.0373	7292.38
(null)	142.0699	8805.78
(null)	143.0058	4531.50
(null)	143.0463	8730.52
(null)	143.0879	3124.27
(null)	144.0152	2178.36
(null)	144.0525	5266.15
(null)	144.9198	2132.70
(null)	145.0245	14945.76
(null)	145.0613	6472.61
(null)	145.1013	2720.71
(null)	146.0053	19209.11
(null)	146.0329	6731.71
(null)	147.0079	13401.06
(null)	147.0444	24984.96
(null)	148.0513	130074.55
(null)	149.0212	280533.85
(null)	149.0612	73891.64
(null)	150.0277	116247.19
(null)	151.0453	47465.78
(null)	151.8723	5152.35
(null)	152.0494	151764.11
(null)	153.0488	59081.78
(null)	153.9190	1968.43
(null)	154.0694	6566.87
(null)	154.9298	2328.69
(null)	155.0422	11433.56
(null)	155.0799	7482.47
(null)	156.0516	2955.69
(null)	157.0249	5067.02
(null)	157.0608	5077.41
(null)	158.0020	13121.21
(null)	158.9684	1705.24
(null)	159.0110	5889.24
(null)	159.0409	7741.78
(null)	159.1161	1050.15
(null)	159.8747	1049.19
(null)	159.9784	6042.72
(null)	160.0496	2430.36
(null)	161.0111	26828.65
(null)	163.0385	116996.27
(null)	164.0344	53666.96
(null)	165.0591	107874.96
(null)	166.0598	24844.04
(null)	166.9269	3088.90
(null)	167.0760	7703.34
(null)	168.0510	4905.94
(null)	168.8708	6002.56
(null)	169.0591	4058.34
(null)	169.8806	1474.01
(null)	170.0027	9783.53
(null)	170.0648	1262.26
(null)	171.0051	5343.40
(null)	171.0396	3317.01
(null)	171.0760	2129.95
(null)	172.0104	1102.74
(null)	172.0458	1351.46
(null)	173.0157	8021.17
(null)	174.0267	35042.39
(null)	175.0319	45989.52
(null)	176.0451	68500.50
(null)	176.8765	3879.52
(null)	177.0472	45613.80
(null)	178.0562	52329.55
(null)	178.9544	3237.81
(null)	179.0748	13286.57
(null)	180.0564	13448.01
(null)	181.0579	13914.20
(null)	181.9988	5188.27
(null)	182.0679	2897.54
(null)	186.0107	17010.52
(null)	187.0304	57984.54
(null)	188.0262	28383.25
(null)	189.0507	84973.82
(null)	190.0472	24193.41
(null)	191.0297	50920.62
(null)	191.0764	12367.59
(null)	192.0451	12615.36
(null)	192.8729	2826.63
(null)	193.0500	52315.96
(null)	193.9993	3723.35
(null)	194.0583	10103.00
(null)	195.0767	2643.47
(null)	196.0484	3926.84
(null)	196.8575	618.67
(null)	197.0546	2005.08
(null)	198.0210	18702.95
(null)	199.0187	17626.24
(null)	200.0359	48017.63
(null)	201.0335	29264.48
(null)	202.0555	56980.27
(null)	203.0582	23523.64
(null)	204.0802	2744.83
(null)	204.9755	2998.86
(null)	205.0488	7618.06
(null)	205.9915	2524.87
(null)	207.0656	6913.76
(null)	207.8206	965.04
(null)	208.0492	7876.49
(null)	208.9996	7323.51
(null)	209.0575	4882.51
(null)	210.0113	8397.87
(null)	211.0257	29716.80
(null)	212.0237	13183.99
(null)	213.0473	43228.81
(null)	214.0484	12345.33
(null)	214.2427	640.54
(null)	215.0647	31706.38
(null)	216.0683	7909.57
(null)	217.9975	1238.85
(null)	218.0646	2869.37
(null)	219.0653	8941.46
(null)	220.0641	2684.06
(null)	221.0800	4031.37
(null)	222.0115	15537.75
(null)	223.0166	14508.24
(null)	224.0297	35478.47
(null)	224.8254	5143.53
(null)	225.0314	20535.68
(null)	226.0496	42883.78
(null)	227.0498	17426.47
(null)	228.0635	10830.73
(null)	229.0910	3117.40
(null)	231.0666	3818.20
(null)	232.8280	2850.92
(null)	233.9966	4744.40
(null)	235.0327	27201.90
(null)	237.0434	36379.65
(null)	238.0570	8093.45
(null)	239.0612	34050.04
(null)	240.0633	9960.06
(null)	240.8342	1137.88
(null)	241.0720	5945.48
(null)	245.1241	887.55
(null)	246.0080	6416.73
(null)	247.0054	5710.14
