formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C2H4,"{'C': 2, 'H': 4}",28.03130012892,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | H shift +1 | -H,1,0,-H,,"[0, 1, 8, 9, 10, 11, 12]",0.6
C2H4O,"{'C': 2, 'O': 1, 'H': 4}",44.02621474849,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H shift -1 | H,1,0,H,,"[4, 5, 6, 14, 15, 16]",0.6
C2H4O2,"{'O': 2, 'C': 2, 'H': 4}",60.02112936806,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[3, 4, 5, 6, 14, 15, 16]",0.6
C2H5,"{'C': 2, 'H': 5}",29.03912516115,neutral,0,EVA,Ethylene-Vinyl Acetate,fragment,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[0, 1, 8, 9, 10, 11, 12]",0.6
C2H6,"{'C': 2, 'H': 6}",30.04695019338,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H shift +1 | H,1,0,H,,"[0, 1, 8, 9, 10, 11, 12]",0.6
C4H10,"{'C': 4, 'H': 10}",58.0782503223,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",0.6
C4H10O,"{'C': 4, 'O': 1, 'H': 10}",74.07316494187,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[0, 1, 2, 3, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",0.6
C4H6O2,"{'C': 4, 'O': 2, 'H': 6}",86.03677943252,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | H shift +1 | -H,1,0,-H,,"[2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19]",0.6
C4H7O2,"{'C': 4, 'O': 2, 'H': 7}",87.04460446475,neutral,0,EVA,Ethylene-Vinyl Acetate,fragment,break 1 bond(s) | ; | break 2 bond(s),1,0,,,"[2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19]",0.6
C4H8,"{'C': 4, 'H': 8}",56.06260025784,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | -H,1,0,-H,,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",0.6
