formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C91H129O,"{'C': 91, 'H': 129, 'O': 1}",1238.00434377724,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift -2 | OH | ; | M + 12×repeat | H shift -1 | O,0,-2,OH,,,0.0
C91H130,"{'C': 91, 'H': 130}",1223.0172541899,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift -1 | H,0,-1,H,,,0.0
C91H130,"{'C': 91, 'H': 130}",1223.0172541899,neutral,0,COC,Cyclic Olefin Copolymer,oligomer,M + 12×repeat,0,0,,,,0.0
C91H130,"{'C': 91, 'H': 130}",1223.0172541899,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +1 | -H,0,1,-H,,,0.0
C91H130,"{'C': 91, 'H': 130}",1223.0172541899,neutral,0,COC,Cyclic Olefin Copolymer,neutral_loss,M + 12×repeat | H shift +2 | -H2,0,2,,H2,,0.0
C91H130Cl,"{'C': 91, 'H': 130, 'Cl': 1}",1257.9861068719,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | Cl,0,0,Cl,,,0.0
C91H130K,"{'C': 91, 'H': 130, 'K': 1}",1261.9809606763,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | K,0,0,K,,,0.0
C91H130Na,"{'C': 91, 'H': 130, 'Na': 1}",1246.0070234719,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | Na,0,0,Na,,,0.0
C91H130O,"{'C': 91, 'H': 130, 'O': 1}",1239.01216880947,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift -1 | OH | ; | M + 12×repeat | O,0,-1,OH,,,0.0
C91H131,"{'C': 91, 'H': 131}",1224.02507922213,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H,0,0,H,,,0.0
C91H131,"{'C': 91, 'H': 131}",1224.02507922213,neutral,0,COC,Cyclic Olefin Copolymer,h_shift,M + 12×repeat | H shift +1,0,1,,,,0.0
C91H131,"{'C': 91, 'H': 131}",1224.02507922213,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +2 | -H,0,2,-H,,,0.0
C91H131Cl,"{'C': 91, 'H': 131, 'Cl': 1}",1258.99393190413,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +1 | Cl,0,1,Cl,,,0.0
C91H131K,"{'C': 91, 'H': 131, 'K': 1}",1262.98878570853,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +1 | K,0,1,K,,,0.0
C91H131Na,"{'C': 91, 'H': 131, 'Na': 1}",1247.01484850413,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +1 | Na,0,1,Na,,,0.0
C91H131O,"{'C': 91, 'H': 131, 'O': 1}",1240.0199938417,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | OH | ; | M + 12×repeat | H shift +1 | O,0,0,OH,,,0.0
C91H132,"{'C': 91, 'H': 132}",1225.03290425436,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +1 | H,0,1,H,,,0.0
C91H132,"{'C': 91, 'H': 132}",1225.03290425436,neutral,0,COC,Cyclic Olefin Copolymer,h_shift,M + 12×repeat | H shift +2,0,2,,,,0.0
C91H132Cl,"{'C': 91, 'H': 132, 'Cl': 1}",1260.00175693636,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +2 | Cl,0,2,Cl,,,0.0
C91H132K,"{'C': 91, 'H': 132, 'K': 1}",1263.99661074076,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +2 | K,0,2,K,,,0.0
C91H132Na,"{'C': 91, 'H': 132, 'Na': 1}",1248.0226735363601,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +2 | Na,0,2,Na,,,0.0
C91H132O,"{'C': 91, 'H': 132, 'O': 1}",1241.02781887393,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +1 | OH | ; | M + 12×repeat | H shift +2 | O,0,1,OH,,,0.0
C91H133,"{'C': 91, 'H': 133}",1226.04072928659,positive,1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +2 | H,0,2,H,,,0.0
C91H133O,"{'C': 91, 'H': 133, 'O': 1}",1242.03564390616,negative,-1,COC,Cyclic Olefin Copolymer,adduct,M + 12×repeat | H shift +2 | OH,0,2,OH,,,0.0
