formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C4HF10K,"{'C': 4, 'F': 10, 'H': 1, 'K': 1}",277.95556314593,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | H shift +1 | K,0,1,K,,,0.58
C4HF10Na,"{'C': 4, 'F': 10, 'H': 1, 'Na': 1}",261.98162594153,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | H shift +1 | Na,0,1,Na,,,0.58
C9H2F20,"{'C': 9, 'F': 20, 'H': 2}",489.98371331906,neutral,0,PFA,Perfluoroalkoxy Alkane,h_shift,M + 1×repeat | H shift +2,0,2,,,,0.5700000000000001
C9H3F20,"{'C': 9, 'F': 20, 'H': 3}",490.99153835129,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | H shift +2 | H,0,2,H,,,0.5700000000000001
C9HF20,"{'C': 9, 'F': 20, 'H': 1}",488.97588828683,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | H shift +2 | -H,0,2,-H,,,0.5700000000000001
C4F10,"{'C': 4, 'F': 10}",237.9840316273,neutral,0,PFA,Perfluoroalkoxy Alkane,neutral_loss,M | H shift +2 | -H2,0,2,,H2,,0.55
C4HF9,"{'C': 4, 'F': 9, 'H': 1}",219.9934534968,neutral,0,PFA,Perfluoroalkoxy Alkane,neutral_loss,M | H shift +2 | -HF,0,2,,HF,,0.55
C8HF20,"{'C': 8, 'F': 20, 'H': 1}",476.97588828683,positive,1,PFA,Perfluoroalkoxy Alkane,dimer,2M | H,0,0,H,,,0.55
C9ClF20,"{'C': 9, 'F': 20, 'Cl': 1}",522.9369159366,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | Cl,0,0,Cl,,,0.55
C9F20K,"{'C': 9, 'F': 20, 'K': 1}",526.931769741,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | K,0,0,K,,,0.55
C9F20Na,"{'C': 9, 'F': 20, 'Na': 1}",510.9578325366,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | Na,0,0,Na,,,0.55
C9F20O,"{'C': 9, 'F': 20, 'O': 1}",503.96297787417,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | O,0,0,O,,,0.55
C9HF20O,"{'C': 9, 'F': 20, 'O': 1, 'H': 1}",504.9708029064,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | OH | ; | M + 1×repeat | H shift +1 | O,0,0,OH,,,0.55
C3F7,"{'C': 3, 'F': 7}",168.98882213911,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,break 1 bond(s) | H shift +1 | -H | ; | break 1 bond(s) | H shift +1 | -H | ; | break 1 bond(s) | H shift +1 | -H,1,1,-H,,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5499999999999999
C3H2F7,"{'C': 3, 'F': 7, 'H': 2}",171.00447220357,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,break 1 bond(s) | H shift +1 | H | ; | break 1 bond(s) | H shift +1 | H | ; | break 1 bond(s) | H shift +1 | H,1,1,H,,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5499999999999999
