formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C31H34F32O,"{'C': 31, 'F': 32, 'H': 34, 'O': 1}",1030.20986692275,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +2 | OH,1,2,OH,,"[1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",0.0
C31H35ClF29,"{'C': 31, 'F': 29, 'H': 35, 'Cl': 1}",993.1964205292201,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +2 | Cl | ; | break 2 bond(s) + 7×repeat | H shift +2 | Cl,2,2,Cl,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H35ClF30,"{'C': 31, 'F': 30, 'H': 35, 'Cl': 1}",1012.19482369195,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +2 | Cl | ; | break 2 bond(s) + 7×repeat | H shift +2 | Cl | ; | break 2 bond(s) + 7×repeat | H shift +2 | Cl,1,2,Cl,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C31H35F29,"{'C': 31, 'F': 29, 'H': 35}",958.22756784722,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +1 | H | ; | break 2 bond(s) + 7×repeat | H shift +1 | H,2,1,H,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H35F29,"{'C': 31, 'F': 29, 'H': 35}",958.22756784722,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,break 2 bond(s) + 7×repeat | H shift +2 | ; | break 2 bond(s) + 7×repeat | H shift +2,2,2,,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H35F29K,"{'C': 31, 'F': 29, 'H': 35, 'K': 1}",997.1912743336201,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +2 | K | ; | break 2 bond(s) + 7×repeat | H shift +2 | K,2,2,K,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H35F29Na,"{'C': 31, 'F': 29, 'H': 35, 'Na': 1}",981.21733712922,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +2 | Na | ; | break 2 bond(s) + 7×repeat | H shift +2 | Na,2,2,Na,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H35F29O,"{'C': 31, 'F': 29, 'H': 35, 'O': 1}",974.22248246679,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +1 | OH | ; | break 2 bond(s) + 7×repeat | H shift +2 | O | ; | break 2 bond(s) + 7×repeat | H shift +1 | OH,2,1,OH,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H35F30,"{'C': 31, 'F': 30, 'H': 35}",977.22597100995,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +1 | H | ; | break 2 bond(s) + 7×repeat | H shift +1 | H | ; | break 2 bond(s) + 7×repeat | H shift +1 | H,1,1,H,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C31H35F30,"{'C': 31, 'F': 30, 'H': 35}",977.22597100995,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,break 1 bond(s) + 7×repeat | H shift +2 | ; | break 2 bond(s) + 7×repeat | H shift +2 | ; | break 2 bond(s) + 7×repeat | H shift +2,1,2,,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
