formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
CH2O,"{'C': 1, 'H': 2, 'O': 1}",30.01056468403,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift -1 | -CH3 | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,-1,,CH3,,0.6
CH2O,"{'O': 1, 'C': 1, 'H': 2}",30.01056468403,negative,-1,POMH,Polyoxymethylene Homopolymer,adduct,break 1 bond(s) | -H | ; | break 1 bond(s) | -H,1,0,-H,,"[1, 2, 6, 7, 8]",0.6
CH3O,"{'O': 1, 'C': 1, 'H': 3}",31.01838971626,neutral,0,POMH,Polyoxymethylene Homopolymer,fragment,break 1 bond(s) | ; | break 1 bond(s),1,0,,,"[1, 2, 6, 7, 8]",0.6
CH4O,"{'C': 1, 'H': 4, 'O': 1}",32.02621474849,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift +1 | -CH3,0,1,,CH3,,0.6
CH4O,"{'O': 1, 'C': 1, 'H': 4}",32.02621474849,positive,1,POMH,Polyoxymethylene Homopolymer,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H,1,0,H,,"[1, 2, 6, 7, 8]",0.6
CH5,"{'C': 1, 'H': 5}",17.03912516115,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift -1 | -CO,0,-1,,CO,,0.6
CH7,"{'C': 1, 'H': 7}",19.05477522561,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift +1 | -CO,0,1,,CO,,0.6
C2H5ClO,"{'C': 2, 'H': 5, 'O': 1, 'Cl': 1}",80.00289246272,negative,-1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift -1 | Cl,0,-1,Cl,,,0.58
C2H5KO,"{'C': 2, 'H': 5, 'O': 1, 'K': 1}",83.99774626712,positive,1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift -1 | K,0,-1,K,,,0.58
C2H5NaO,"{'C': 2, 'H': 5, 'O': 1, 'Na': 1}",68.02380906272,positive,1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift -1 | Na,0,-1,Na,,,0.58
C2H5O2,"{'C': 2, 'H': 5, 'O': 2}",61.028954400290004,negative,-1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift -1 | O,0,-1,O,,,0.58
C2H7ClO,"{'C': 2, 'H': 7, 'O': 1, 'Cl': 1}",82.01854252718,negative,-1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift +1 | Cl,0,1,Cl,,,0.58
C2H7KO,"{'C': 2, 'H': 7, 'O': 1, 'K': 1}",86.01339633158,positive,1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift +1 | K,0,1,K,,,0.58
C2H7NaO,"{'C': 2, 'H': 7, 'O': 1, 'Na': 1}",70.03945912718,positive,1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift +1 | Na,0,1,Na,,,0.58
C2H8O2,"{'C': 2, 'H': 8, 'O': 2}",64.05242949698,negative,-1,POMH,Polyoxymethylene Homopolymer,adduct,M | H shift +1 | OH | ; | M | H shift +2 | O,0,1,OH,,,0.58
C2H2,"{'C': 2, 'H': 2}",26.01565006446,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift -2 | -H2O,0,-2,,H2O,,0.55
C2H2O,"{'C': 2, 'H': 2, 'O': 1}",42.01056468403,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift -2 | -H2,0,-2,,H2,,0.55
C2H6O,"{'C': 2, 'H': 6, 'O': 1}",46.04186481295,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift +2 | -H2,0,2,,H2,,0.55
C2H7,"{'C': 2, 'H': 7}",31.05477522561,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift +2 | -OH,0,2,,OH,,0.55
C4H11O2,"{'C': 4, 'H': 11, 'O': 2}",91.07590459367,negative,-1,POMH,Polyoxymethylene Homopolymer,dimer,2M | -H,0,0,-H,,,0.55
C4H13O2,"{'C': 4, 'H': 13, 'O': 2}",93.09155465813001,positive,1,POMH,Polyoxymethylene Homopolymer,dimer,2M | H,0,0,H,,,0.55
CH4,"{'C': 1, 'H': 4}",16.03130012892,neutral,0,POMH,Polyoxymethylene Homopolymer,neutral_loss,M | H shift -2 | -CO | ; | break 1 bond(s) | H shift +2 | -OH | ; | break 1 bond(s) | H shift +2 | -OH,0,-2,,CO,,0.55
