score,overall_recall,recall_at_100,iw_recall_at_100,enrichment_at_100,PEEK_missing,PEEK_rMed,PEEK_rP75,PEI_missing,PEI_rMed,PEI_rP75,Nomex_missing,Nomex_rMed,Nomex_rP75,PEN_missing,PEN_rMed,PEN_rP75,PI_missing,PI_rMed,PI_rP75
0.35,0.2335,0.1318,0.2498,0.5643,7.7,151,154,21.4,264,266,25.0,205,207,5.6,290,345,31.2,169,171
0.4,0.2335,0.1318,0.2498,0.5643,7.7,109,112,21.4,154,156,25.0,153,155,5.6,208,272,31.2,116,118
0.42,0.2335,0.1318,0.2498,0.5643,7.7,107,110,21.4,145,147,25.0,153,155,5.6,177,271,31.2,110,112
0.45,0.2335,0.1318,0.2498,0.5643,7.7,90,93,21.4,98,100,25.0,131,133,5.6,147,217,31.2,84,86
0.48,0.2335,0.1443,0.2844,0.6179,7.7,64,67,21.4,77,79,25.0,98,100,5.6,98,148,31.2,71,73
0.5,0.2335,0.1501,0.3022,0.6429,7.7,63,66,21.4,74,76,25.0,98,100,5.6,92,148,31.2,67,69
0.52,0.2335,0.151,0.3074,0.6464,7.7,62,65,21.4,72,74,25.0,98,100,5.6,86,143,31.2,65,67
0.55,0.2335,0.151,0.3074,0.6464,7.7,48,51,21.4,58,60,25.0,74,76,5.6,81,107,31.2,58,60
