spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,71.99967832121695,60.572976868468956,22,structural_candidate,,True,False,,,,
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,27.022404143145625,415.9204124189064,14,low_mass_feature,C2H3+,True,True,C2H3,-0.0010709535443744755,-39.63048943715061,0.7980000000000003
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,29.038936084070677,1063.1487488415198,29,low_mass_feature,C2H5+,True,True,C2H5,-0.0001890770793231411,-6.5111148587939525,0.908
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,39.021360635304575,309.5169138090825,11,structural_candidate,,True,True,C3H3,-0.002114461385424704,-54.1843436594414,0.6580000000000001
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,41.03962912274527,3847.5527108433735,55,structural_candidate,,True,True,C3H5,0.0005039615952711074,12.28002773675562,0.8580000000000001
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,43.01716254069407,168.2460611677479,6,structural_candidate,,True,True,C2H3O,-0.0012271755659298833,-28.526766669419008,1.0
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,43.05556153777322,2534.6298656163112,48,structural_candidate,,True,True,C3H7,0.0007863121632212255,18.26306510952375,0.908
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,55.05615124230492,3593.115732159407,59,structural_candidate,,True,True,C4H7,0.0013760166949197128,24.993593912261165,0.7980000000000003
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,57.07154771627981,396.91554680259503,14,structural_candidate,,True,True,C4H9,0.0011224262098110671,19.667388215632666,0.908
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,67.05489320749265,530.2537071362373,18,structural_candidate,,True,True,C5H7,0.00011798188265288445,1.7594851709803963,0.6580000000000001
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,69.07149892734977,758.7899675625579,25,structural_candidate,,True,True,C5H9,0.0010736372797595095,15.544095396121188,0.8780000000000001
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,91.05207734236178,615.908827618165,21,structural_candidate,,True,False,,,,
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,1.0083970737084924,3196.358892468255,66,low_mass_background,below_min_main_mz,False,False,,,,
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,13.007594261259873,371.9412573728274,60,low_mass_background,below_min_main_mz,False,False,,,,
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,25.00919138078368,747.7749983846701,91,structural_candidate,,True,True,C2H,0.0013663485536810072,54.63684074564909,0.6580000000000001
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,34.97103735591797,341.69120429770066,71,contaminant,Cl-,False,False,,,,
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,49.004151024538956,43.094849097415164,12,structural_candidate,,True,True,C4H,-0.0036740076910461994,-74.9677768525738,0.6580000000000001
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,11.99923931589141,231.74885057471263,13,low_mass_background,below_min_main_mz,False,False,,,,
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,30.998933654156847,1651.9896551724137,29,low_mass_feature,CF+,True,True,CF,0.000530491426847135,17.113508204350197,0.79
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,68.99410966767644,1701.9454022988505,28,structural_candidate,,True,True,CF3,-0.0010998205135592798,-15.940534447504467,1.0
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,73.99532712853643,336.4402298850575,19,structural_candidate,,True,False,,,,
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,92.99671629007007,1633.180459770115,39,structural_candidate,,True,True,C3F3,0.0015068018800690197,16.203005384491092,0.79
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,99.99541594725257,1513.5557471264367,42,structural_candidate,,True,True,C2F4,0.0018032963325680385,18.03411522757346,1.0
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,116.99226052543284,295.26724137931035,18,structural_candidate,,True,False,,,,
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,118.99650897157566,1192.5798850574713,46,structural_candidate,,True,True,C2F5,0.004493157925665514,37.760163107935924,0.79
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,130.99040536571812,1657.2402298850575,35,structural_candidate,,True,True,C3F5,-0.0016104479318812537,-12.294244972703423,0.79
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,132.90113482223748,467.8235632183908,25,contaminant,Cs+,False,False,,,,
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,284.80127880817054,89.20459770114942,6,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,19.00403651813251,1361.1595934039442,33,low_mass_feature,F-,True,True,F,0.005633355402508755,296.51731012635605,0.96
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,24.004757228960848,17.51544979331675,14,low_mass_background,below_min_main_mz,False,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,38.00229353272789,204.33098215913225,39,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,39.01022212966818,19.409073230802314,15,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,43.003333460602214,74.39899736994411,29,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,48.004711127743995,19.687618913218238,15,structural_candidate,,True,True,C4,0.0047111277439952914,98.14849466656857,0.6580000000000001
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,55.002300039518346,26.82942604973334,18,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,67.00160928410985,27.321837023895625,19,structural_candidate,,True,False,,,,
