spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score,network_has_match,best_match_rank,matched_formula,error_category
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,42.99826788883917,64.32161391916365,22,structural_candidate,,True,False,,,,,False,0,,missing
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,48.00013907375432,80.98024717933839,26,structural_candidate,,True,True,C4,0.0001390737543189,2.897369881645536,0.6580000000000001,True,58,C4,rank_51_100
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,49.00785075912203,62.89455335039847,22,structural_candidate,,True,True,C4H,2.5726892026511905e-05,0.5249547803762483,0.6580000000000001,True,59,C4H,rank_51_100
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,66.99839518340902,25.3515590268191,10,structural_candidate,,True,False,,,,,False,0,,missing
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,71.99967832121695,60.57297686846896,22,structural_candidate,,True,False,,,,,False,0,,missing
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,27.022404143145625,415.9204124189064,14,low_mass_feature,C2H3+,True,True,C2H3,-0.0010709535443744,-39.63048943715061,0.7980000000000003,True,32,C2H3,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,29.03893608407068,1063.1487488415198,29,low_mass_feature,C2H5+,True,True,C2H5,-0.0001890770793231,-6.5111148587939525,0.908,True,12,C2H5,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,39.021360635304575,309.5169138090825,11,structural_candidate,,True,True,C3H3,-0.0021144613854247,-54.1843436594414,0.6580000000000001,True,93,C3H3,rank_51_100
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,41.03962912274527,3847.5527108433735,55,structural_candidate,,True,True,C3H5,0.0005039615952711,12.28002773675562,0.8580000000000001,True,24,C3H5,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,43.01716254069407,168.2460611677479,6,structural_candidate,,True,True,C2H3O,-0.0012271755659298,-28.526766669419008,1.0,True,1,C2H3O,rank_1_50
