material,overall_recall,recall_at_100,intensity_weighted_recall_at_100,enrichment_at_100
COC,0.2534313725490196,0.2534313725490196,0.6487980662846304,1.0
EVA,0.3663949275362319,0.30117753623188404,0.5335593158645708,0.8448275862068966
PDMS,0.19883720930232557,0.19883720930232557,0.5430075154959882,1.0
PET,0.32866675563859604,0.15134792472974778,0.2561601105438367,0.46157178217821787
POMC,0.19811320754716982,0.19811320754716982,0.5147247292001744,1.0
POMH,0.20456259426847662,0.20456259426847662,0.6043404503689243,1.0
