spectrum_key,material,polarity,compound_id,formula,raw_formula,mz,intensity,network_score,generation_type,matched_ion_mode,network_path
COC_neg,COC,neg,COC,C11,C_11-,131.9983,3610.47,0.22,carbon_cluster,positive,carbon cluster C11 H0-24 | positive ion formula
COC_neg,COC,neg,COC,C9H4,C_9H_4-,112.031,3408.35,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_neg,COC,neg,COC,C13H,C_13H-,157.0038,3379.34,0.22,carbon_cluster,positive,carbon cluster C13 H0-28 | positive ion formula
COC_neg,COC,neg,COC,C12,C_12-,143.9962,3376.52,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
COC_neg,COC,neg,COC,C6H5,C_6H_5-,77.0405,3277.43,0.2499999999999999,neutral_loss,neutral,break 2 bond(s) | H shift -2 | -CH3
COC_neg,COC,neg,COC,C8H5,C_8H_5-,101.0396,3204.39,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
COC_neg,COC,neg,COC,C2H3O,C_2H_3O-,43.0198,2969.36,0.38,adduct,negative,break 1 bond(s) | H shift -2 | O | ; | break 1 bond(s) | H shift -2 | O | ; | break 2 bond(s) | H shift -2 | O
COC_neg,COC,neg,COC,C13H2,C_13H_2-,158.0118,2964.26,0.22,carbon_cluster,positive,carbon cluster C13 H0-28 | positive ion formula
COC_neg,COC,neg,COC,C6H4,C_6H_4-,76.0298,2779.3,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_neg,COC,neg,COC,C11H5,C_11H_5-,137.038,2520.25,0.22,carbon_cluster,positive,carbon cluster C11 H0-24 | positive ion formula
COC_neg,COC,neg,COC,C12H2,C_12H_2-,146.0102,2214.18,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
COC_neg,COC,neg,COC,C7H7,C_7H_7-,91.0565,2029.25,0.35,adduct,negative,break 2 bond(s) | H shift -2 | -H
COC_neg,COC,neg,COC,C10H5,C_10H_5-,125.0383,2022.17,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
COC_pos,COC,pos,COC,C5H7,C_5H_7+,67.0569,1029446.55,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C3H5,C_3H_5+,41.04,1006435.87,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_pos,COC,pos,COC,C7H7,C_7H_7+,91.0536,593814.1,0.35,adduct,negative,break 2 bond(s) | H shift -2 | -H
