material,normalized_formula,ion_mode,polarity,rf_formula_raw,peak_count,best_rf_score,best_rank,max_intensity,total_intensity,mz_min,mz_max,median_abs_ppm,material_total_intensity,relative_intensity,network_best_score,generation_types,paths,exact_mass,network_formula_modes,network_formula_best_score,all_network_compound_count,all_network_compounds,same_material_mode_match,same_material_formula_match,is_generic_formula,screening_tier
ETFE,C2HF2O,negative,-,C₂HF₂O⁻,1,100,19,318726.22,318726.22,78.998,78.998,26.5,62897427.95,0.005067396718564864,0.28,adduct,break 2 bond(s) | H shift -1 | O,78.99954597726,negative,0.28,1,ETFE,True,True,False,A_高置信特征
ETFE,C3F3,negative,-,C₃F₃⁻,2,100,26,198809.73,206526.06,92.9956,93.9998,4.85,62897427.95,0.003283537447098423,0.35,adduct,break 2 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H,92.99520948819,negative; neutral,0.4,2,ETFE; PVDF,True,True,False,A_高置信特征
ETFE,C2HF3O,negative,-,C₂HF₃O⁻,1,100,27,191757.8,191757.8,97.9973,97.9973,12.2,62897427.95,0.0030487383387510997,0.33,adduct,break 2 bond(s) | O | ; | break 2 bond(s) | H shift -1 | OH | ; | break 2 bond(s) | O,97.99794913999,negative,0.33,2,ETFE; PTFE,True,True,False,A_高置信特征
ETFE,C2HF4O,negative,-,C₂HF₄O⁻,1,100,29,180191.01,180191.01,116.9937,116.9937,27.4,62897427.95,0.0028648390859995414,0.48,adduct,break 1 bond(s) | O | ; | break 2 bond(s) | H shift -1 | OH | ; | break 2 bond(s) | O,116.99635230272,negative,0.48,4,ETFE; FEP; PFA; PTFE,True,True,False,A_高置信特征
ETFE,C3HF3O,negative,-,C₃HF₃O⁻,1,100,36,102070.47,102070.47,109.9986,109.9986,0.9,62897427.95,0.0016228083297959404,0.2299999999999999,adduct,break 2 bond(s) | H shift -2 | O | ; | break 2 bond(s) | H shift -2 | O | ; | break 2 bond(s) | H shift -2 | O,109.99794913999,negative,0.2299999999999999,2,ETFE; PVDF,True,True,False,A_高置信特征
ETFE,CF,negative,-,CF⁻,1,100,40,89734.46,89734.46,30.9978,30.9978,37.2,62897427.95,0.0014266793241741772,0.45,adduct,break 2 bond(s) | -H | ; | break 2 bond(s) | -H,30.99840316273,negative; neutral,0.5,3,ETFE; PTFE; PVDF,True,True,False,A_高置信特征
ETFE,C2F3,negative,-,C₂F₃⁻,2,100,46,75464.52,77458.18000000001,80.9953,81.9985,3.8,62897427.95,0.0012314999599280117,0.45,adduct,break 2 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | -H,80.99520948819,negative; neutral,0.5,2,ETFE; PTFE,True,True,False,A_高置信特征
ETFE,C3HF4O,negative,-,C₃HF₄O⁻,1,100,48,73828.37,73828.37,128.9942,128.9942,20.9,62897427.95,0.001173789968942601,0.38,adduct,break 1 bond(s) | H shift -2 | O,128.99635230272,negative,0.38,2,ETFE; PVDF,True,True,False,A_高置信特征
ETFE,C2F2,negative,-,C₂F₂⁻,1,100,56,56078.27,56078.27,61.9963,61.9963,17.0,62897427.95,0.0008915828806955212,0.4,adduct,break 2 bond(s) | H shift -1 | -H,61.99680632546,negative; neutral,0.4,1,ETFE,True,True,False,A_高置信特征
ETFE,C3H2F3O,negative,-,C₃H₂F₃O⁻,1,100,60,43554.76,43554.76,111.0042,111.0042,19.1,62897427.95,0.0006924728310770298,0.28,adduct,break 2 bond(s) | H shift -1 | O | ; | break 2 bond(s) | H shift -2 | OH | ; | break 2 bond(s) | H shift -1 | O,111.00577417222,negative,0.28,2,ETFE; PVDF,True,True,False,A_高置信特征
