material,peak_index,mz,intensity,polarity,ion_mode,rank,rf_formula_raw,rf_formula_clean,normalized_formula,rf_exact_mz,rf_ppm,rf_score,rf_source
PTFE,936,390.9761,2748.95,+,positive,444,C₆H₅HgO₇⁺,C6H5HgO7,,390.973624,-6.3,38,mols[0]
PTFE,965,407.9575,943.08,-,negative,405,C₉H₉F₉Sn⁻,C9H9F9Sn,,407.958796,3.2,100,mols[0]
PTFE,971,410.9708,1578.39,+,positive,554,BiHg⁺,BiHg,,410.950493,-49.4,35,mols[0]
PTFE,979,416.9696,1628.3,+,positive,545,BiPb⁺,BiPb,,416.956502,-31.4,39,mols[0]
PTFE,1002,430.9695,2096.32,+,positive,494,BiH₄HgO⁺,BiH4HgO,,430.976708,16.7,32,mols[0]
PTFE,1006,432.9584,1921.91,+,positive,511,HOPb₂⁺,HOPb2,,432.955495,-6.7,38,mols[0]
PTFE,1007,433.9643,1611.21,+,positive,551,H₂OPb₂⁺,H2OPb2,,433.96332,-2.3,48,mols[0]
PTFE,1008,434.9729,1460.11,+,positive,565,HBi₂O⁺,HBi2O,,434.962989,-22.8,36,mols[0]
PTFE,1029,445.9587,1593.28,+,positive,552,CH₂OPb₂⁺,CH2OPb2,,445.96332,10.4,46,mols[0]
PTFE,1033,449.9537,1350.92,+,positive,576,H₂O₂Pb₂⁺,H2O2Pb2,,449.958235,10.1,31,mols[0]
PTFE,1037,452.6644,1435.09,+,positive,568,NbSn₃⁺,NbSn3,,452.612414,-114.8,17,mols[0]
PTFE,1062,466.9547,1644.18,+,positive,541,HBi₂O₃⁺,HBi2O3,,466.952819,-4.0,41,mols[0]
PTFE,1076,478.972,1056.93,+,positive,616,AlAuCaH₇Pb⁺,AlAuCaH7Pb,,478.941577,-63.5,25,mols[0]
PTFE,1079,480.9554,1754.42,+,positive,529,HO₄Pb₂⁺,HO4Pb2,,480.94024,-31.5,36,mols[0]
PTFE,1080,481.0078,3680.75,-,negative,194,C₁₀H₆BiF₆O₂⁻,C10H6BiF6O2,,481.008146,0.7,100,mols[0]
PTFE,1082,482.9639,1020.58,+,positive,623,HBi₂O₄⁺,HBi2O4,,482.947734,-33.5,34,mols[0]
PTFE,1086,486.6646,913.71,+,positive,642,Nb₃Pb⁺,Nb3Pb,,486.695237,63.0,25,mols[0]
PTFE,1087,486.9439,962.09,-,negative,400,C₁₀H₄F₁₂MnO₅⁻,C10H4F12MnO5,,486.925304,-38.2,100,mols[0]
PTFE,1095,492.9484,1055.61,+,positive,617,C₆HN₆O₈Pb⁺,C6HN6O8Pb,,492.961692,27.0,24,mols[0]
PTFE,1101,496.6521,1096.75,+,positive,612,Cl₅HgSn⁺,Cl5HgSn,,496.716554,129.8,15,mols[0]
PTFE,1102,496.9363,888.48,+,positive,650,HO₅Pb₂⁺,HO5Pb2,,496.935155,-2.3,41,mols[0]
PTFE,1104,498.9439,1191.79,+,positive,598,HBi₂O₅⁺,HBi2O5,,498.942649,-2.5,43,mols[0]
PTFE,1106,499.9544,851.4,+,positive,655,H₂Bi₂O₅⁺,H2Bi2O5,,499.950474,-7.9,34,mols[0]
PTFE,1121,511.9448,893.43,+,positive,649,C₃H₂O₄Tl₂⁺,C3H2O4Tl2,,511.943615,-2.3,31,mols[0]
