material,peak_index,mz,intensity,polarity,ion_mode,rank,rf_formula_raw,rf_formula_clean,normalized_formula,rf_exact_mz,rf_ppm,rf_score,rf_source
PAI,255,74.9263,4583.37,+,positive,369,As⁺,As,,74.921046,-70.1,71,mols[0]
PAI,266,76.9353,40220.09,+,positive,90,AsH₂⁺,AsH2,,76.936696,18.1,56,mols[0]
PAI,379,100.9266,5423.94,+,positive,335,CAsN⁺,CAsN,,100.92412,-24.6,37,mols[0]
PAI,410,109.9188,3496.96,+,positive,426,AsH₃S⁺,AsH3S,,109.916592,-20.1,23,mols[0]
PAI,428,114.913,19073.05,+,positive,150,In⁺,In,,114.903329,-84.2,68,mols[0]
PAI,448,119.9111,4254.19,+,positive,378,CHAsO₂⁺,CHAsO2,,119.918701,63.4,21,mols[0]
PAI,469,124.9061,3821.62,+,positive,400,AsH₂OS⁺,AsH2OS,,124.903682,-19.4,33,mols[0]
PAI,494,129.9138,3849.25,+,positive,399,HInN⁺,HInN,,129.914228,3.3,42,mols[0]
PAI,520,136.9151,15804.39,+,positive,179,C₂H₃AsCl⁺,C2H3AsCl,,136.913374,-12.6,36,mols[0]
PAI,524,137.9132,10269.13,+,positive,227,AsHNO₃⁺,AsHNO3,,137.91669,25.3,38,mols[0]
PAI,531,139.9064,4903.42,+,positive,355,Ce⁺,Ce,,139.90489,-10.8,60,mols[0]
PAI,536,140.9083,11091.65,+,positive,217,Pr⁺,Pr,,140.907104,-8.5,79,mols[0]
PAI,541,141.9035,3757.2,+,positive,408,Nd⁺,Nd,,141.907174,25.9,65,mols[0]
PAI,560,145.9061,2607.63,+,positive,479,HInNO⁺,HInNO,,145.909143,20.9,40,mols[0]
PAI,574,148.9165,6587.46,+,positive,292,H₂InO₂⁺,H2InO2,,148.908809,-51.6,39,mols[0]
PAI,613,158.8739,4722.24,+,positive,364,InOSi⁺,InOSi,,158.875171,8.0,33,mols[0]
PAI,636,164.9012,8918.85,+,positive,251,H₂InO₃⁺,H2InO3,,164.903724,15.3,36,mols[0]
PAI,647,167.9039,5488.79,+,positive,329,ClH₄InN⁺,ClH4InN,,167.906556,15.8,32,mols[0]
PAI,683,176.8721,35222.76,+,positive,100,ClNd⁺,ClNd,,176.876027,22.2,38,mols[0]
PAI,728,188.8589,16687.34,+,positive,171,C₃H₃As₂⁺,C3H3As2,,188.866116,38.2,32,mols[0]
PAI,747,193.8619,2928.06,+,positive,458,InO₃P⁺,InO3P,,193.861836,-0.3,24,mols[0]
PAI,795,206.8389,5428.81,+,positive,334,C₂H₃AsCl₃⁺,C2H3AsCl3,,206.85108,58.9,35,mols[0]
PAI,798,207.82,4708.87,+,positive,365,AsCs⁺,AsCs,,207.826498,31.3,57,mols[0]
PAI,802,208.9989,4565.21,-,negative,332,Bi⁻,Bi,,208.980948,-85.9,68,mols[0]
PAI,805,209.9894,2445.09,-,negative,418,BiH⁻,BiH,,209.988773,-3.0,54,mols[0]
PAI,850,222.8567,3746.93,+,positive,409,C₂HClInO₃⁺,C2HClInO3,,222.864752,36.1,27,mols[0]
PAI,884,232.8267,13245.72,+,positive,195,As₂H₃O₃S⁺,As2H3O3S,,232.822932,-16.2,32,mols[0]
PAI,925,246.8382,2930.86,+,positive,457,H₆InP₂S₂⁺,H6InP2S2,,246.841945,15.2,32,mols[0]
PAI,938,250.8183,3150.01,+,positive,448,AlAsH₃InP⁺,AlAsH3InP,,250.8037,-58.2,24,mols[0]
PAI,943,252.8134,4916.5,+,positive,352,C₂H₄As₃⁺,C2H4As3,,252.795536,-70.7,27,mols[0]
PAI,953,256.8267,3225.19,+,positive,445,AsH₃InO₄⁺,AsH3InO4,,256.828059,5.3,34,mols[0]
PAI,964,261.0185,4183.72,+,positive,382,C₉H₁₃Ce⁺,C9H13Ce,,261.006615,-45.5,40,mols[0]
PAI,991,272.8218,2153.99,+,positive,518,CeCs⁺,CeCs,,272.810342,-42.0,51,mols[0]
PAI,1062,305.7922,4115.27,+,positive,386,CsO₂Pr⁺,CsO2Pr,,305.802386,33.3,23,mols[0]
PAI,1064,307.7917,100272.08,+,positive,40,Ce₂Si⁺,Ce2Si,,307.787256,-14.4,35,mols[0]
PAI,1079,314.7982,5088.87,+,positive,345,HPr₂S⁺,HPr2S,,314.794653,-11.3,33,mols[0]
PAI,1108,328.7625,4973.53,+,positive,351,C₂H₅As₄⁺,C2H5As4,,328.724956,-114.2,20,mols[0]
PAI,1117,334.7703,1974.7,+,positive,535,CCaCeO₇P⁺,CCaCeO7P,,334.805648,105.6,0,mols[0]
PAI,1131,340.7547,2524.04,+,positive,483,Cl₅MgNd⁺,Cl5MgNd,,340.736481,-53.5,38,mols[0]
PAI,1156,354.7247,1683.51,+,positive,560,CaCeCl₅⁺,CaCeCl5,,354.711746,-36.5,41,mols[0]
PAI,1160,358.7517,1236.37,+,positive,608,In₃N⁺,In3N,,358.714159,-104.6,12,mols[0]
PAI,1188,380.7373,857.2,+,positive,647,HNd₂S₃⁺,HNd2S3,,380.738935,4.3,34,mols[0]
PAI,1191,384.727,2738.26,+,positive,471,Ce₂Cl₃⁺,Ce2Cl3,,384.716888,-26.3,31,mols[0]
PBI,7,6.0149,274.03,+,positive,648,⁶Li⁺,Li,,6.014574,20.0,85,iso_satellite
PBI,8,7.0159,3351.52,+,positive,448,Li⁺,Li,,7.015454,-63.6,63,mols[0]
PBI,10,11.0083,524.1,+,positive,643,B⁺,B,,11.008756,41.4,34,mols[0]
PBI,48,27.004,22656.55,-,negative,153,BO⁻,BO,,27.004769,28.5,39,mols[0]
PBI,121,45.0282,87608.43,+,positive,37,CB₃⁺,CB3,,45.027366,-18.5,39,mols[0]
PBI,127,46.99,29119.44,+,positive,115,BClH⁺,BClH,,46.985434,-97.2,40,mols[0]
PBI,152,54.9388,7194.21,+,positive,307,Mn⁺,Mn,,54.937495,-23.8,79,mols[0]
PBI,156,55.9419,38474.34,+,positive,83,HMn⁺,HMn,,55.94532,61.1,45,mols[0]
PBI,174,60.0274,15107.45,+,positive,202,BH₃NO₂⁺,BH3NO2,,60.025135,-37.7,47,mols[0]
PBI,187,63.0915,371.05,-,negative,593,C₃H₉BLi⁻,C3H9BLi,,63.096282,75.8,9,mols[0]
PBI,223,72.9487,21543.59,+,positive,151,H₂MnO⁺,H2MnO,,72.94806,-8.8,60,mols[0]
PBI,243,77.9358,14752.27,+,positive,204,MnNa⁺,MnNa,,77.927264,-109.5,42,mols[0]
PBI,254,80.9551,113071.78,+,positive,28,C₂H₂Mn⁺,C2H2Mn,,80.953145,-24.1,45,mols[0]
PBI,274,86.9637,31137.5,+,positive,110,CH₄MnO⁺,CH4MnO,,86.96371,0.1,38,mols[0]
PBI,278,87.9231,8398.0,-,negative,251,CHAs⁻,CHAs,,87.929969,78.1,22,mols[0]
PBI,279,87.9606,55050.9,+,positive,57,H₃MnNO⁺,H3MnNO,,87.958959,-18.7,41,mols[0]
PBI,285,88.964,39119.71,+,positive,81,BCaClH₃⁺,BCaClH3,,88.963675,-3.7,35,mols[0]
PBI,295,90.9394,24879.4,-,negative,142,FHMnO⁻,FHMnO,,90.939736,3.7,35,mols[0]
PBI,299,91.9419,5764.17,+,positive,346,AsH₃N⁺,AsH3N,,91.947595,61.9,35,mols[0]
PBI,305,93.9341,14607.91,+,positive,206,AsH₃O⁺,AsH3O,,93.939436,56.8,27,mols[0]
PBI,308,94.9322,38447.11,+,positive,84,HMnNaO⁺,HMnNaO,,94.930004,-23.1,40,mols[0]
PBI,317,97.9824,32181.84,+,positive,106,BH₂KNO₂⁺,BH2KNO2,,97.981016,-14.1,39,mols[0]
PBI,320,98.9517,37966.75,+,positive,86,CH₂MnNO⁺,CH2MnNO,,98.951134,-5.7,37,mols[0]
PBI,324,99.9221,3883.78,+,positive,423,C₂HAs⁺,C2HAs,,99.928871,67.8,34,mols[0]
PBI,339,103.9512,33886.22,-,negative,117,H₃MnNO₂⁻,H3MnNO2,,103.954972,36.3,35,mols[0]
PBI,411,122.9302,16010.84,+,positive,194,BCuHO₃⁺,BCuHO3,,122.930924,5.9,33,mols[0]
PBI,414,123.912,63283.31,-,negative,60,AsHO₃⁻,AsHO3,,123.914714,21.9,27,mols[0]
PBI,415,123.9196,4572.08,+,positive,388,AsHO₃⁺,AsHO3,,123.913616,-48.3,29,mols[0]
PBI,440,130.934,62030.47,-,negative,63,F₄Mn⁻,F4Mn,,130.932205,-13.7,35,mols[0]
PBI,458,137.9157,5832.48,+,positive,344,AsHNO₃⁺,AsHNO3,,137.91669,7.2,39,mols[0]
PBI,462,138.9158,10132.97,+,positive,251,La⁺,La,,138.905804,-72.0,69,mols[0]
PBI,463,138.9215,67450.1,-,negative,53,La⁻,La,,138.906902,-105.1,64,mols[0]
PBI,465,139.9228,4829.72,+,positive,379,HLa⁺,HLa,,139.913629,-65.5,57,mols[0]
PBI,466,139.9298,45925.94,-,negative,85,HLa⁻,HLa,,139.914727,-107.7,50,mols[0]
PBI,469,140.9139,11520.77,+,positive,232,Pr⁺,Pr,,140.907104,-48.2,73,mols[0]
PBI,470,140.9271,38552.4,-,negative,103,H₂La⁻,H2La,,140.922552,-32.3,40,mols[0]
PBI,474,141.9089,16180.16,+,positive,192,Nd⁺,Nd,,141.907174,-12.2,54,mols[0]
PBI,475,141.9256,37590.14,-,negative,107,HPr⁻,HPr,,141.916027,-67.5,52,mols[0]
PBI,494,148.0782,7940.53,+,positive,295,C₄H₁₁BNO₄⁺,C4H11BNO4,,148.077565,-4.3,49,mols[0]
PBI,519,154.9036,11380.04,+,positive,236,LaO⁺,LaO,,154.900719,-18.6,48,mols[0]
PBI,526,156.9384,35939.47,-,negative,115,C₂H₆CaMnO₂⁻,C2H6CaMnO2,,156.937964,-2.8,35,mols[0]
PBI,531,158.9253,15844.34,+,positive,195,Tb⁺,Tb,,158.924798,-3.2,79,mols[0]
PBI,532,158.9283,30248.9,-,negative,126,Tb⁻,Tb,,158.925896,-15.1,78,mols[0]
PBI,545,163.9295,26082.76,-,negative,138,Dy⁻,Dy,,163.929724,1.4,69,mols[0]
PBI,548,164.9103,16282.14,+,positive,189,CLaN⁺,CLaN,,164.908878,-8.6,39,mols[0]
PBI,549,164.9118,25147.11,-,negative,140,CLaN⁻,CLaN,,164.909976,-11.1,38,mols[0]
PBI,553,165.9132,14829.41,-,negative,191,C₂HPr⁻,C2HPr,,165.916027,17.0,37,mols[0]
PBI,558,166.9353,22567.47,-,negative,154,C₂H₄La⁻,C2H4La,,166.938202,17.4,38,mols[0]
PBI,564,168.9154,27491.7,-,negative,132,CH₂LaO⁻,CH2LaO,,168.917467,12.2,37,mols[0]
PBI,570,170.8779,13096.2,+,positive,216,CCaMnO₄⁺,CCaMnO4,,170.879746,10.8,38,mols[0]
PBI,576,172.8982,24065.56,+,positive,133,O₂Pr⁺,O2Pr,,172.896934,-7.3,40,mols[0]
PBI,577,172.9245,19792.01,-,negative,172,CH₃FLa⁻,CH3FLa,,172.92878,24.8,36,mols[0]
PBI,588,176.8815,18669.09,+,positive,171,C₃H₃AsCu⁺,C3H3AsCu,,176.874119,-41.7,28,mols[0]
PBI,602,180.9267,27443.8,-,negative,133,CH₂LaN₂⁻,CH2LaN2,,180.9287,11.1,37,mols[0]
PBI,641,192.9236,19909.98,-,negative,169,H₃PTb⁻,H3PTb,,192.923133,-2.4,40,mols[0]
PBI,646,194.9631,16534.53,+,positive,186,Pt⁺,Pt,,194.964242,5.9,77,mols[0]
PBI,651,196.8658,12572.97,-,negative,213,AsH₃MnO₄⁻,AsH3MnO4,,196.863323,-12.6,33,mols[0]
PBI,664,200.9017,15821.75,-,negative,188,CH₂LaO₃⁻,CH2LaO3,,200.907297,27.9,35,mols[0]
PBI,675,204.9304,17497.72,-,negative,180,CH₂O₂Tb⁻,CH2O2Tb,,204.931376,4.8,38,mols[0]
PBI,682,207.835,3130.95,+,positive,459,AsCs⁺,AsCs,,207.826498,-40.9,42,mols[0]
PBI,691,210.8592,8617.87,-,negative,248,CaLaO₂⁻,CaLaO2,,210.859323,0.6,34,mols[0]
PBI,692,210.8633,6517.3,+,positive,324,CaLaO₂⁺,CaLaO2,,210.858225,-24.1,37,mols[0]
PBI,699,212.8576,8821.11,+,positive,273,AsH₃MnO₅⁺,AsH3MnO5,,212.85714,-2.2,36,mols[0]
PBI,700,212.8591,10297.44,-,negative,238,AsH₃MnO₅⁻,AsH3MnO5,,212.858238,-4.0,37,mols[0]
PBI,722,218.873,5488.8,+,positive,355,DyMn⁺,DyMn,,218.86667,-28.9,40,mols[0]
PBI,767,233.8469,2323.4,+,positive,508,AsTb⁺,AsTb,,233.846393,-2.2,35,mols[0]
PBI,777,237.8384,2919.27,+,positive,473,C₂CuMnO₆⁺,C2CuMnO6,,237.836583,-7.6,26,mols[0]
PBI,781,238.8554,11368.22,-,negative,225,AsDy⁻,AsDy,,238.851319,-17.1,40,mols[0]
PBI,799,244.9029,10647.76,-,negative,233,DyH₂O₃P⁻,DyH2O3P,,244.903881,4.0,38,mols[0]
PBI,807,248.317,4289.38,+,positive,408,C₁₆H₃₅LiN⁺,C16H35LiN,,248.292403,-99.1,13,mols[0]
PBI,808,248.8357,8773.62,+,positive,275,AlCuTb⁺,AlCuTb,,248.835935,0.9,36,mols[0]
PBI,833,256.8285,4080.63,+,positive,417,AsH₃InO₄⁺,AsH3InO4,,256.828059,-1.7,35,mols[0]
PBI,855,265.8176,3127.74,+,positive,460,CsH₂InO⁺,CsH2InO,,265.819346,6.6,34,mols[0]
PBI,881,276.8221,5745.34,-,negative,306,AlCl₃H₃Nd⁻,AlCl3H3Nd,,276.819845,-8.1,46,mols[0]
PBI,898,282.8165,6973.11,+,positive,316,C₄BCl₆N⁺,C4BCl6N,,282.824948,29.9,31,mols[0]
PBI,902,284.8152,10424.07,+,positive,247,AlLaMnO₄⁺,AlLaMnO4,,284.805047,-35.6,29,mols[0]
PBI,911,288.8057,5766.23,-,negative,304,C₃HCl₇Li⁻,C3HCl7Li,,288.806348,2.2,46,mols[0]
PBI,919,291.7822,2946.35,-,negative,409,H₈Mn₄O₄⁻,H8Mn4O4,,291.794985,43.8,19,mols[0]
PBI,932,296.7995,4077.54,-,negative,352,H₅In₂P₂⁻,H5In2P2,,296.794954,-15.3,33,mols[0]
PBI,941,300.7881,5206.27,+,positive,367,C₂HCl₃LaO₂⁺,C2HCl3LaO2,,300.810018,72.9,33,mols[0]
PBI,942,300.8009,4187.31,-,negative,347,C₂HCl₃LaO₂⁻,C2HCl3LaO2,,300.811116,34.0,28,mols[0]
PBI,952,304.7539,3277.06,-,negative,381,AsIn₂⁻,AsIn2,,304.7299,-78.8,21,mols[0]
PBI,983,319.7555,1521.57,+,positive,568,CHCl₃InKO₃⁺,CHCl3InKO3,,319.766164,33.4,18,mols[0]
PBI,1018,335.7271,1182.37,+,positive,594,CsCuHLa⁺,CsCuHLa,,335.748679,64.3,13,mols[0]
PBI,1031,340.7684,3030.25,-,negative,401,AlCaLaMnO₅⁻,AlCaLaMnO5,,340.763651,-13.9,33,mols[0]
PBI,1036,344.7649,3237.5,-,negative,387,C₃Mn₃O₉⁻,C3Mn3O9,,344.768916,11.6,33,mols[0]
PBI,1037,344.7702,1852.67,+,positive,543,C₃Mn₃O₉⁺,C3Mn3O9,,344.767818,-6.9,39,mols[0]
PBI,1077,362.7457,1447.49,+,positive,574,Al₂Mn₃O₉⁺,Al2Mn3O9,,362.730896,-40.8,28,mols[0]
PBI,1091,368.7527,2215.29,-,negative,454,C₆Cl₆MnO₂⁻,C6Cl6MnO2,,368.741541,-30.3,42,mols[0]
PBI,1099,372.8988,1993.56,+,positive,536,C₃H₆LaO₁₂⁺,C3H6LaO12,,372.891734,-18.9,37,mols[0]
PBI,1103,374.7545,2969.88,-,negative,405,LaO₄PPr⁻,LaO4PPr,,374.767977,36.0,29,mols[0]
PBI,1105,375.6919,710.15,+,positive,627,AlCl₆La⁺,AlCl6La,,375.700461,22.8,21,mols[0]
PBI,1108,376.7322,1193.35,+,positive,593,C₄Cl₆MnO₄⁺,C4Cl6MnO4,,376.730273,-5.1,47,mols[0]
PBI,1121,382.7418,1864.93,+,positive,541,CaH₁₁Mn₄O₇⁺,CaH11Mn4O7,,382.764698,59.8,23,mols[0]
PBI,1127,388.7368,1480.43,+,positive,571,In₃N₂O⁺,In3N2O,,388.712148,-63.4,0,mols[0]
PBI,1128,388.7488,1963.94,-,negative,476,In₃N₂O⁻,In3N2O,,388.713246,-91.5,0,mols[0]
PBI,1134,391.6956,644.12,+,positive,634,C₂H₄As₄O₄⁺,C2H4As4O4,,391.696791,3.0,29,mols[0]
PBI,1139,394.726,2056.05,-,negative,465,CaH₄LaMnOPr⁻,CaH4LaMnOPr,,394.741405,39.0,28,mols[0]
PBI,1145,400.0159,1210.32,+,positive,592,C₇H₁₁NO₆Pt⁺,C7H11NO6Pt,,400.022881,17.5,36,mols[0]
PBI,1158,406.7288,1027.24,+,positive,609,Cl₃H₂Nd₂O⁺,Cl3H2Nd2O,,406.732021,7.9,45,mols[0]
PBI,1161,408.709,1756.79,-,negative,499,H₆Mn₅O₈⁻,H6Mn5O8,,408.697039,-29.3,30,mols[0]
PBI,1162,408.7316,1055.25,+,positive,607,H₆Mn₃O₁₁P₂⁺,H6Mn3O11P2,,408.752122,50.2,18,mols[0]
PBI,1165,410.7274,1534.62,-,negative,523,Al₂Mn₃O₁₂⁻,Al2Mn3O12,,410.716739,-26.0,46,mols[0]
PBI,1168,415.6671,1038.31,-,negative,563,KLaMn₂O₈⁻,KLaMn2O8,,415.706016,93.6,0,mols[0]
PBI,1169,416.7214,1890.79,-,negative,482,AlCl₅MnO₁₀⁻,AlCl5MnO10,,416.713547,-18.8,44,mols[0]
PBI,1175,419.6671,1013.33,-,negative,564,In₂Mn₂O₅⁻,In2Mn2O5,,419.658968,-19.4,22,mols[0]
PBI,1179,422.7003,1571.64,-,negative,520,C₂Mn₅N₂O₆⁻,C2Mn5N2O6,,422.666407,-80.2,4,mols[0]
PBI,1180,422.7453,907.2,+,positive,616,Al₂LaMgNdO₄⁺,Al2LaMgNdO4,,422.741307,-9.4,19,mols[0]
PBI,1185,426.7288,2069.88,-,negative,464,C₆H₆Cl₆La⁻,C6H6Cl6La,,426.76697,89.4,32,mols[0]
PBI,1195,434.7006,1352.53,-,negative,539,Mn₄NaO₁₂⁻,Mn4NaO12,,434.681474,-44.0,20,mols[0]
PBI,1216,452.6641,1125.36,-,negative,557,Cl₅La₂⁻,Cl5La2,,452.65752,-14.5,48,mols[0]
PBI,1217,454.6902,683.14,+,positive,631,CaLaMnO₅Pr⁺,CaLaMnO5Pr,,454.688667,-3.4,35,mols[0]
PBI,1222,460.7729,1677.6,-,negative,509,Cl₃DyO₁₂⁻,Cl3DyO12,,460.775263,5.1,46,mols[0]
PBI,1228,464.6824,636.11,+,positive,635,La₃O₃⁺,La3O3,,464.703255,44.9,32,mols[0]
PBI,1239,476.7055,1156.33,-,negative,553,Al₅CaNdO₁₀⁻,Al5CaNdO10,,476.727708,46.6,12,mols[0]
PBI,1241,478.726,1310.4,-,negative,544,Al₂B₄Cu₃O₁₂⁻,Al2B4Cu3O12,,478.728621,5.5,46,mols[0]
PCTFE,221,74.9287,30145.66,+,positive,181,As⁺,As,,74.921046,-102.2,73,mols[0]
PCTFE,275,89.9528,13031.12,-,negative,146,CH₃As⁻,CH3As,,89.945619,-79.8,22,mols[0]
PCTFE,292,93.9209,10033.1,+,positive,277,AsF⁺,AsF,,93.919449,-15.4,60,mols[0]
PCTFE,293,93.9259,9341.01,-,negative,189,AsF⁻,AsF,,93.920547,-57.0,61,mols[0]
PCTFE,320,100.937,342103.15,+,positive,18,C₂H₂As⁺,C2H2As,,100.936696,-3.0,50,mols[0]
PCTFE,327,102.9361,260055.04,+,positive,22,CH₂AsN⁺,CH2AsN,,102.93977,35.7,26,mols[0]
PCTFE,342,106.898,30299.31,-,negative,87,Ag⁻,Ag,,106.905646,71.5,73,mols[0]
PCTFE,351,108.8955,19978.02,-,negative,112,¹⁰⁹Ag⁻,Ag,,108.905301,19.8,85,iso_satellite
PCTFE,365,112.9205,90991.82,-,negative,32,AsF₂⁻,AsF2,,112.91895,-13.7,59,mols[0]
PCTFE,376,115.9286,7751.85,-,negative,211,C₂HAsO⁻,C2HAsO,,115.924884,-32.1,28,mols[0]
PCTFE,377,115.9613,375760.39,+,positive,15,C₃H₅As⁺,C3H5As,,115.960171,-9.7,42,mols[0]
PCTFE,399,122.9155,12777.87,-,negative,148,AgH₂N⁻,AgH2N,,122.92437,72.2,30,mols[0]
PCTFE,406,124.9042,7464.63,-,negative,215,CH₃AsCl⁻,CH3AsCl,,124.914472,82.2,17,mols[0]
PCTFE,412,126.932,71352.84,+,positive,91,C₂AsN₂⁺,C2AsN2,,126.927194,-37.9,30,mols[0]
PCTFE,418,127.8878,6450.03,-,negative,239,AsClH₂O⁻,AsClH2O,,127.901562,107.6,5,mols[0]
PCTFE,421,128.8905,106496.76,-,negative,28,AsClF⁻,AsClF,,128.8894,-8.5,50,mols[0]
PCTFE,427,130.8872,67814.86,-,negative,42,InO⁻,InO,,130.899342,92.8,35,mols[0]
PCTFE,430,131.9528,96746.89,+,positive,67,C₃H₅AsO⁺,C3H5AsO,,131.955086,17.3,39,mols[0]
PCTFE,436,133.9583,73949.58,+,positive,83,C₂H₅AsNO⁺,C2H5AsNO,,133.95816,-1.0,37,mols[0]
PCTFE,446,137.9039,19390.58,-,negative,115,Ba⁻,Ba,,137.905796,13.7,68,mols[0]
PCTFE,448,138.9076,22369.63,-,negative,101,La⁻,La,,138.906902,-5.0,87,mols[0]
PCTFE,473,146.0066,44776.0,+,positive,136,C₅H₁₁As⁺,C5H11As,,146.007121,3.6,43,mols[0]
PCTFE,474,146.8578,50963.13,-,negative,60,AsCl₂H₂⁻,AsCl2H2,,146.8755,120.5,50,mols[0]
PCTFE,481,148.9532,231511.59,+,positive,26,C₃H₆Ag⁺,C3H6Ag,,148.951498,-11.4,44,mols[0]
PCTFE,485,150.8826,15755.26,-,negative,125,ClHIn⁻,ClHIn,,150.881105,-9.9,38,mols[0]
PCTFE,505,156.8848,17617.99,-,negative,120,AgClHN⁻,AgClHN,,156.885398,3.8,45,mols[0]
PCTFE,506,156.9387,74679.68,+,positive,82,C₂H₄AsF₂O⁺,C2H4AsF2O,,156.944067,34.2,29,mols[0]
PCTFE,509,157.8937,8118.6,-,negative,206,AgClH₂N⁻,AgClH2N,,157.893223,-3.0,59,mols[0]
PCTFE,514,159.8852,8306.48,-,negative,203,CH₃AsCl₂⁻,CH3AsCl2,,159.883325,-11.7,28,mols[0]
PCTFE,516,160.8418,5783.6,-,negative,254,AsCl₂O⁻,AsCl2O,,160.854765,80.6,48,mols[0]
PCTFE,519,161.8526,3922.42,-,negative,305,AsCl₂HO⁻,AsCl2HO,,161.86259,61.7,40,mols[0]
PCTFE,526,163.8617,4377.26,-,negative,290,AsCl₂F⁻,AsCl2F,,163.858253,-21.0,75,mols[0]
PCTFE,531,165.8457,1672.68,-,negative,433,As₂O⁻,As2O,,165.838654,-42.5,19,mols[0]
PCTFE,540,168.8585,10040.17,+,positive,276,Al₂In⁺,Al2In,,168.866407,46.8,28,mols[0]
PCTFE,550,171.8675,7369.63,-,negative,218,C₂H₃AsCl₂⁻,C2H3AsCl2,,171.883325,92.1,21,mols[0]
PCTFE,554,173.875,11230.11,-,negative,168,ClLa⁻,ClLa,,173.875755,4.3,66,mols[0]
PCTFE,582,184.8367,3992.5,-,negative,302,Cl₂In⁻,Cl2In,,184.842133,29.4,52,mols[0]
PCTFE,588,186.8758,12288.69,-,negative,150,C₂H₂AsCl₂O⁻,C2H2AsCl2O,,186.870415,-28.8,60,mols[0]
PCTFE,589,186.9645,44972.6,+,positive,135,Re⁺,Re,,186.955204,-49.7,78,mols[0]
PCTFE,592,188.8635,8144.5,-,negative,205,BaClO⁻,BaClO,,188.869564,32.1,42,mols[0]
PCTFE,595,189.8601,5883.69,-,negative,251,AgClO₃⁻,AgClO3,,189.859244,-4.5,34,mols[0]
PCTFE,597,190.8699,11326.47,-,negative,167,AgClHO₃⁻,AgClHO3,,190.867069,-14.8,53,mols[0]
PCTFE,601,192.8652,8955.43,-,negative,195,Al₂La⁻,Al2La,,192.86998,24.8,32,mols[0]
PCTFE,613,196.9632,54855.01,+,positive,117,Au⁺,Au,,196.96602,14.3,85,mols[0]
PCTFE,628,203.8291,1578.58,-,negative,443,C₂AsCl₃⁻,C2AsCl3,,203.828703,-1.9,74,mols[0]
PCTFE,630,204.8343,9501.05,-,negative,184,C₂HAsCl₃⁻,C2HAsCl3,,204.836528,10.9,71,mols[0]
PCTFE,631,204.9773,34433.78,+,positive,164,Tl⁺,Tl,,204.973878,-16.7,84,mols[0]
PCTFE,636,206.8436,13443.55,-,negative,138,C₂H₃AsCl₃⁻,C2H3AsCl3,,206.852178,41.5,80,mols[0]
PCTFE,642,208.8437,12032.58,-,negative,152,Cl₂La⁻,Cl2La,,208.844608,4.3,65,mols[0]
PCTFE,645,209.8514,3398.53,-,negative,335,CeCl₂⁻,CeCl2,,209.843694,-36.7,67,mols[0]
PCTFE,649,210.9497,33860.92,+,positive,166,HNaRe⁺,HNaRe,,210.952798,14.7,48,mols[0]
PCTFE,652,211.9901,12334.51,+,positive,262,CH₃Au⁺,CH3Au,,211.989495,-2.9,46,mols[0]
PCTFE,661,216.8494,5858.49,-,negative,252,CH₃AsI⁻,CH3AsI,,216.850092,3.2,35,mols[0]
PCTFE,662,216.9685,22401.09,+,positive,208,CH₂ORe⁺,CH2ORe,,216.965769,-12.6,45,mols[0]
PCTFE,666,218.8556,5198.03,-,negative,268,AlCeClHO⁻,AlCeClHO,,218.85912,16.1,23,mols[0]
PCTFE,667,218.9803,15210.16,+,positive,234,CH₄ORe⁺,CH4ORe,,218.981419,5.1,45,mols[0]
PCTFE,671,220.9792,20889.56,+,positive,214,C₂H₂Pt⁺,C2H2Pt,,220.979892,3.1,60,mols[0]
PCTFE,673,221.794,1821.81,-,negative,424,AgIn⁻,AgIn,,221.809524,70.0,0,mols[0]
PCTFE,676,222.9772,13667.44,+,positive,248,C₂H₂Au⁺,C2H2Au,,222.98167,20.0,50,mols[0]
PCTFE,678,223.8278,4375.67,-,negative,291,BaCl₂O⁻,BaCl2O,,223.838417,47.4,36,mols[0]
PCTFE,679,223.9904,10122.22,+,positive,275,C₂H₃Au⁺,C2H3Au,,223.989495,-4.0,46,mols[0]
PCTFE,681,224.8174,13448.62,-,negative,137,CHAgCl₃⁻,CHAgCl3,,224.82003,11.7,97,mols[0]
PCTFE,684,225.8283,4532.2,-,negative,283,CeCl₂O⁻,CeCl2O,,225.838609,45.6,65,mols[0]
PCTFE,688,226.9501,25299.39,+,positive,200,HNaORe⁺,HNaORe,,226.947713,-10.5,48,mols[0]
PCTFE,697,229.9751,6991.87,+,positive,299,C₂H₃ORe⁺,C2H3ORe,,229.973594,-6.5,43,mols[0]
PCTFE,705,232.953,18229.2,+,positive,223,CH₂O₂Re⁺,CH2O2Re,,232.960684,33.0,46,mols[0]
PCTFE,710,234.9591,13305.71,+,positive,251,C₆H₈AsO₅⁺,C6H8AsO5,,234.958221,-3.7,44,mols[0]
PCTFE,717,237.8317,2864.71,-,negative,365,Cl₃H₂InO⁻,Cl3H2InO,,237.821551,-42.7,42,mols[0]
PCTFE,719,238.8245,11117.62,-,negative,169,AgHInO⁻,AgHInO,,238.812264,-51.2,2,mols[0]
PCTFE,720,239.0039,13414.82,+,positive,249,C₃H₆Au⁺,C3H6Au,,239.01297,37.9,46,mols[0]
PCTFE,724,240.8029,10363.45,-,negative,175,Ag₂Al⁻,Ag2Al,,240.792282,-44.1,30,mols[0]
