mode,mz_bin,POMC_norm,POMH_norm,abs_diff
negative,45.025,100.0,100.0,0.0
negative,44.975,85.1023702282886,80.75791081661463,4.344459411673981
negative,1.025,66.11271428816084,49.89362935829711,16.219084929863733
negative,25.025,16.756006918874483,10.654459369214097,6.101547549660387
negative,41.025,13.784872668733195,12.05387313101584,1.7309995377173557
negative,17.025,11.883894778304875,9.94245588217652,1.9414388961283553
negative,15.975000000000001,10.872822866537652,9.792497270753273,1.0803255957843785
negative,75.025,5.8767618297340345,7.048254681707848,1.171492851973814
negative,59.025,4.62785360757651,6.161099536527918,1.5332459289514082
negative,13.025,5.69501293007484,3.700378695480047,1.9946342345947934
negative,61.025,3.8233631895326337,5.1461796544153815,1.3228164648827478
negative,43.025,4.9463958486753095,4.808072971859767,0.13832287681554245
negative,31.025,4.014531349009265,4.86685674753768,0.8523253985284152
negative,26.025,3.9137024541453305,1.4214076914771523,2.492294762668178
negative,40.975,3.4448802041410493,3.880528974003175,0.43564876986212564
