mode,bin_width_da,mz_min,mz_max,cosine_similarity,pearson_correlation,pomc_max_intensity,pomh_max_intensity,pomc_base_mz,pomh_base_mz
positive,0.05,0.0,500.0,0.9791106487437873,0.9790709384869078,144748.0,156601.0,31.020021,31.020563
negative,0.05,0.0,500.0,0.9938013119868165,0.9937979171838487,467128.0,500138.0,45.001076,45.000322
