mode,mz_bin,POMC_norm,POMH_norm,abs_diff
positive,31.025,100.0,100.0,0.0
positive,45.025,99.8037969436538,94.83783628457034,4.96596065908345
positive,61.025,66.10799458369027,66.30545143389888,0.19745685020861004
positive,44.025,56.558985270953656,61.60880198721592,5.049816716262264
positive,89.025,37.212949401718845,39.91162253114604,2.698673129427192
positive,73.025,32.877829054632876,37.2864796521095,4.408650597476623
positive,22.975,28.425954071904275,0.16921986449639528,28.25673420740788
positive,75.025,20.333959709287868,22.43983116327482,2.1058714539869534
positive,29.025,16.15082764528698,19.313414346013115,3.162586700726134
positive,41.025,18.116312487910022,8.876699382507136,9.239613105402887
positive,15.025,13.102080857766602,16.842165758839343,3.7400849010727413
positive,55.075,16.42509741067234,5.215164654120982,11.209932756551357
positive,43.025,12.32072291154282,14.88432385489237,2.5636009433495506
positive,105.025,11.689971536739712,13.436057241013788,1.7460857042740763
positive,55.025,13.037140409539338,4.840326690123307,8.196813719416031
