Area Statistics
	Mass (u)	STD-SiB (+Grease-floodgun) *
(null)	133.0456	224608.15
(null)	134.0014	22843.60
(null)	134.0462	33442.29
(null)	135.0420	18217.28
(null)	135.9788	1866.45
(null)	136.0410	1694.44
(null)	136.9743	2005.24
(null)	139.0308	577.96
(null)	141.0061	2961.82
(null)	141.0521	1584.43
(null)	142.1484	562.65
(null)	142.9807	5001.79
(null)	143.0274	12213.37
(null)	143.9350	860.94
(null)	144.0294	2229.72
(null)	144.9437	9276.23
(null)	145.0409	5015.79
(null)	145.1246	31642.73
(null)	145.9123	1550.64
(null)	145.9490	3218.59
(null)	146.9229	19298.34
(null)	147.0733	1109184.95
(null)	147.9218	3641.07
(null)	148.0693	190341.35
(null)	148.9348	7485.18
(null)	149.0637	110229.98
(null)	149.9368	1053.40
(null)	150.0631	11642.64
(null)	151.0290	1114.43
(null)	155.0166	1009.31
(null)	156.9860	1786.43
(null)	157.0416	11340.04
(null)	158.0444	2452.04
(null)	158.9569	15038.01
(null)	159.0578	3767.09
(null)	159.9566	4017.19
(null)	160.6788	1976.89
(null)	160.9328	8765.03
(null)	160.9738	15400.22
(null)	161.9800	8611.37
(null)	162.5775	2293.35
(null)	162.9541	27029.94
(null)	163.9539	8369.35
(null)	164.9274	4134.77
(null)	164.9733	4215.58
(null)	165.9660	1200.73
(null)	170.9553	1222.85
(null)	172.9720	1785.64
(null)	173.0128	2917.03
(null)	174.9881	34305.56
(null)	175.6791	1866.36
(null)	175.9912	10146.54
(null)	176.9687	85073.05
(null)	177.9631	19506.07
(null)	178.6010	4252.64
(null)	178.9839	19280.91
(null)	179.9821	3979.59
(null)	180.9352	3253.04
(null)	180.9826	2223.78
(null)	184.9709	1301.21
(null)	186.9477	3507.40
(null)	186.9872	2321.29
(null)	187.0320	4100.08
(null)	188.7231	23802.90
(null)	189.0017	76322.90
(null)	190.0022	26183.87
(null)	190.4901	8592.11
(null)	190.7067	49791.42
(null)	190.9753	156875.49
(null)	191.7036	11002.78
(null)	191.9771	31199.47
(null)	192.6962	16287.74
(null)	192.9994	79654.15
(null)	193.9550	13269.58
(null)	194.0003	15316.16
(null)	194.9487	9410.29
(null)	194.9969	8432.57
(null)	195.9983	1310.80
(null)	198.9841	1612.43
(null)	201.0028	2350.35
(null)	202.9784	9363.21
(null)	205.0465	83238.30
(null)	206.0452	20276.60
(null)	206.4773	5998.07
(null)	207.0210	348070.97
(null)	208.0196	73765.55
(null)	209.0170	44460.00
(null)	210.0167	6580.86
(null)	211.0130	2036.60
(null)	212.2135	443.23
(null)	215.0188	1077.48
(null)	216.9953	5951.72
(null)	217.9921	1588.67
(null)	220.9273	6546.10
(null)	221.1282	156982.82
(null)	221.7231	9126.02
(null)	221.9289	1953.01
(null)	222.1240	36868.38
(null)	222.9129	6002.45
(null)	223.1098	22027.51
(null)	223.9089	1303.36
(null)	224.0769	2389.96
(null)	224.9079	1546.42
(null)	226.2263	983.93
(null)	227.2271	234.11
(null)	228.2412	9075.95
(null)	229.2444	1743.45
(null)	232.9653	4720.94
(null)	233.9461	4493.18
(null)	234.9366	12989.86
(null)	235.9272	6540.25
(null)	236.9310	14602.29
(null)	237.9183	3111.61
(null)	238.9236	5190.80
(null)	242.2543	540.35
(null)	246.9696	12880.55
(null)	248.6631	31546.06
(null)	248.9434	33626.11
(null)	249.6609	15289.88
(null)	250.6481	20516.73
(null)	250.9670	39034.91
(null)	251.6444	7752.42
(null)	251.9768	13984.54
(null)	252.6401	5090.02
(null)	252.9603	13325.79
(null)	253.9607	2960.16
(null)	254.9580	1825.96
(null)	263.0144	11631.14
(null)	265.0097	47270.13
(null)	266.0103	14874.39
(null)	266.9936	50072.93
(null)	267.9899	13401.99
(null)	268.9872	8044.49
(null)	269.9855	1930.39
(null)	279.0712	38202.51
(null)	280.0636	10084.20
(null)	281.0495	137626.90
(null)	282.0466	38241.60
(null)	283.0462	24306.52
(null)	284.0369	4418.89
(null)	285.0256	1216.43
(null)	292.9614	1996.55
(null)	293.4171	8342.72
(null)	294.4042	6909.48
(null)	294.8891	5835.35
(null)	295.8860	2374.73
(null)	296.3918	4038.80
(null)	296.8887	6668.40
(null)	298.8856	2431.39
(null)	306.9722	6038.80
(null)	307.9743	3469.66
(null)	308.9527	15874.31
(null)	309.9517	5457.33
(null)	310.9354	15651.08
(null)	311.9334	4935.37
(null)	312.9136	7965.39
(null)	313.9108	2227.19
(null)	314.9095	1635.53
(null)	320.9932	8840.77
(null)	321.9958	3410.94
(null)	322.9660	41316.08
(null)	323.9663	15010.94
(null)	324.1008	5987.45
