Area Statistics
	Mass (u)	STD-SiB (-Grease-floodgun) *
(null)	124.9184	621.24
(null)	124.9538	2312.19
(null)	124.9940	1463.90
(null)	125.9536	558.21
(null)	126.9709	4768.60
(null)	127.0127	912.53
(null)	127.9701	691.35
(null)	128.9454	8898.43
(null)	128.9892	1815.19
(null)	129.0266	1854.90
(null)	129.9505	931.76
(null)	130.9632	8709.25
(null)	131.0044	17526.90
(null)	131.9684	1136.24
(null)	132.0056	2928.10
(null)	132.9819	61988.25
(null)	133.0216	16238.53
(null)	133.9820	8398.83
(null)	134.0224	2446.13
(null)	134.9616	33837.96
(null)	135.0003	51528.65
(null)	135.9612	3817.58
(null)	136.0003	6502.96
(null)	136.9494	4899.70
(null)	136.9924	6323.58
(null)	138.9702	680.45
(null)	139.0110	560.66
(null)	140.9866	1576.24
(null)	141.9585	730.37
(null)	142.9484	2967.92
(null)	142.9695	2222.84
(null)	143.0054	1522.57
(null)	144.9282	7648.48
(null)	145.0217	2788.38
(null)	145.9283	1559.18
(null)	146.0256	902.61
(null)	146.9357	6637.36
(null)	147.0380	39160.40
(null)	148.0031	4330.99
(null)	148.0387	6115.11
(null)	148.2318	4202.08
(null)	148.3262	2347.56
(null)	148.5525	3388.35
(null)	148.7323	16207.80
(null)	149.0161	275495.12
(null)	149.0558	34062.18
(null)	150.0158	38558.74
(null)	150.0559	5198.38
(null)	150.3212	975.88
(null)	151.0071	36999.32
(null)	151.0537	2492.13
(null)	152.0059	3667.36
(null)	156.9708	1416.82
(null)	157.0212	1385.90
(null)	158.9426	3569.56
(null)	158.9958	6804.20
(null)	159.0385	1823.11
(null)	159.9443	623.34
(null)	159.9975	1210.42
(null)	160.9205	4667.65
(null)	160.9621	5263.75
(null)	161.0149	11056.40
(null)	161.0560	2327.35
(null)	161.9238	1092.88
(null)	162.0167	1869.28
(null)	162.0638	1681.60
(null)	162.9391	9762.91
(null)	163.0705	67256.02
(null)	163.9402	1827.98
(null)	164.0710	10891.73
(null)	164.9197	3957.13
(null)	165.0530	27867.71
(null)	165.9137	530.15
(null)	166.0530	3980.96
(null)	167.0490	1957.90
(null)	168.9264	568.18
(null)	170.9417	1175.75
(null)	173.0065	2336.54
(null)	173.0562	461.24
(null)	174.9765	6226.82
(null)	175.0723	766.06
(null)	175.9763	1311.46
